te_id	species	chrom	te_start	te_end	te_class	te_subclass
Populus_adenopoda|Chr5:4857107-4857287|Homology_Non_LTR_1	Populus_adenopoda	Chr5	4857107	4857287	non-LTR	SINE/tRNA
Populus_adenopoda|Chr5:4864745-4865114|LTR_1002-int	Populus_adenopoda	Chr5	4864745	4865114	LTR	LTR/Gypsy
Populus_adenopoda|Chr5:5082067-5082243|LTR_392-LTR	Populus_adenopoda	Chr5	5082067	5082243	LTR	LTR/Copia
Populus_adenopoda|Chr6:10033140-10033256|LTR_1066-int	Populus_adenopoda	Chr6	10033140	10033256	TIR	DNA/TcMar
Populus_adenopoda|Chr6:10033159-10033362|LTR_392-LTR	Populus_adenopoda	Chr6	10033159	10033362	LTR	LTR/Copia
Populus_adenopoda|Chr7:20011322-20011437|LTR_49-LTR	Populus_adenopoda	Chr7	20011322	20011437	LTR	LTR/Copia
Populus_adenopoda|Chr7:20011434-20011474|LTR_49-LTR	Populus_adenopoda	Chr7	20011434	20011474	LTR	LTR/Copia
Populus_adenopoda|Chr7:20011474-20015723|LTR_671-int	Populus_adenopoda	Chr7	20011474	20015723	LTR	LTR/Copia
Populus_adenopoda|Chr8:468623-468751|LTR_392-LTR	Populus_adenopoda	Chr8	468623	468751	LTR	LTR/Copia
Populus_adenopoda|Chr8:741382-741494|LTR_392-LTR	Populus_adenopoda	Chr8	741382	741494	LTR	LTR/Copia
Populus_alba|Chr1:3057662-3057741|TIR_72	Populus_alba	Chr1	3057662	3057741	TIR	DNA/other
Populus_alba|Chr1:3060544-3060761|LTR_886-int	Populus_alba	Chr1	3060544	3060761	LTR	LTR/Copia
Populus_alba|Chr1:7325122-7325565|LTR_1038-int	Populus_alba	Chr1	7325122	7325565	LTR	LTR/Copia
Populus_alba|Chr1:12478965-12479098|LTR_1038-int	Populus_alba	Chr1	12478965	12479098	LTR	LTR/Copia
Populus_alba|Chr1:12479172-12479522|TIR_112	Populus_alba	Chr1	12479172	12479522	TIR	DNA/TcMar
Populus_alba|Chr1:12486044-12486170|TIR_58	Populus_alba	Chr1	12486044	12486170	TIR	DNA/PIF-Harbinger
Populus_alba|Chr1:12488308-12490368|TIR_116	Populus_alba	Chr1	12488308	12490368	TIR	DNA/hAT
Populus_alba|Chr1:25879238-25879645|TIR_147	Populus_alba	Chr1	25879238	25879645	TIR	DNA/PIF-Harbinger
Populus_alba|Chr1:25879456-25880099|TIR_12	Populus_alba	Chr1	25879456	25880099	TIR	DNA/hAT
Populus_alba|Chr1:41772980-41773078|LTR_1038-int	Populus_alba	Chr1	41772980	41773078	LTR	LTR/Copia
Populus_alba|Chr1:41773611-41773790|LTR_741-LTR	Populus_alba	Chr1	41773611	41773790	LTR	LTR/Gypsy
Populus_alba|Chr1:42117269-42118519|TIR_141	Populus_alba	Chr1	42117269	42118519	TIR	DNA/CMC-EnSpm
Populus_alba|Chr1:42122888-42123094|TIR_112	Populus_alba	Chr1	42122888	42123094	TIR	DNA/TcMar
Populus_alba|Chr1:42123134-42123550|LTR_1038-int	Populus_alba	Chr1	42123134	42123550	LTR	LTR/Copia
Populus_alba|Chr10:387791-387944|TIR_113	Populus_alba	Chr10	387791	387944	TIR	DNA/TcMar
Populus_alba|Chr10:387875-387968|TIR_74	Populus_alba	Chr10	387875	387968	TIR	DNA/CMC-EnSpm
Populus_alba|Chr10:387974-388290|TIR_33	Populus_alba	Chr10	387974	388290	TIR	DNA/hAT
Populus_alba|Chr10:388292-388433|TIR_113	Populus_alba	Chr10	388292	388433	TIR	DNA/TcMar
Populus_alba|Chr10:388295-388644|TIR_113	Populus_alba	Chr10	388295	388644	TIR	DNA/TcMar
Populus_alba|Chr10:390314-390478|TIR_112	Populus_alba	Chr10	390314	390478	TIR	DNA/TcMar
Populus_alba|Chr10:390631-390898|LTR_1038-int	Populus_alba	Chr10	390631	390898	LTR	LTR/Copia
Populus_alba|Chr10:390808-391090|TIR_112	Populus_alba	Chr10	390808	391090	TIR	DNA/TcMar
Populus_alba|Chr10:391194-391568|Denovo_Non_LTR_35	Populus_alba	Chr10	391194	391568	non-LTR	LINE/L1
Populus_alba|Chr10:392842-393046|LTR_1023-int	Populus_alba	Chr10	392842	393046	LTR	LTR/Copia
Populus_alba|Chr10:392883-393033|TIR_46	Populus_alba	Chr10	392883	393033	TIR	DNA/TcMar
Populus_alba|Chr10:393033-393051|TIR_10	Populus_alba	Chr10	393033	393051	TIR	DNA/other
Populus_alba|Chr10:393681-393872|Denovo_Non_LTR_11	Populus_alba	Chr10	393681	393872	non-LTR	SINE/tRNA
Populus_alba|Chr10:13892152-13892295|TIR_16	Populus_alba	Chr10	13892152	13892295	non-LTR	SINE/tRNA
Populus_alba|Chr10:14932761-14932896|TIR_16	Populus_alba	Chr10	14932761	14932896	non-LTR	SINE/tRNA
Populus_alba|Chr10:21315030-21315163|TIR_58	Populus_alba	Chr10	21315030	21315163	TIR	DNA/PIF-Harbinger
Populus_alba|Chr10:21321013-21321155|TIR_16	Populus_alba	Chr10	21321013	21321155	non-LTR	SINE/tRNA
Populus_alba|Chr10:21577946-21578105|LTR_886-int	Populus_alba	Chr10	21577946	21578105	LTR	LTR/Copia
Populus_alba|Chr10:21581104-21581244|TIR_16	Populus_alba	Chr10	21581104	21581244	non-LTR	SINE/tRNA
Populus_alba|Chr10:21581244-21581281|LTR_886-int	Populus_alba	Chr10	21581244	21581281	LTR	LTR/Copia
Populus_alba|Chr13:3281731-3281873|LTR_886-int	Populus_alba	Chr13	3281731	3281873	LTR	LTR/Copia
Populus_alba|Chr13:3289312-3289466|TIR_16	Populus_alba	Chr13	3289312	3289466	non-LTR	SINE/tRNA
Populus_alba|Chr13:3289519-3289711|TIR_4	Populus_alba	Chr13	3289519	3289711	TIR	DNA/hAT
Populus_alba|Chr13:3289773-3289929|TIR_16	Populus_alba	Chr13	3289773	3289929	non-LTR	SINE/tRNA
Populus_alba|Chr13:13400148-13400348|Denovo_Non_LTR_1	Populus_alba	Chr13	13400148	13400348	non-LTR	SINE/tRNA
Populus_alba|Chr13:13402902-13404176|LTR_1223-int	Populus_alba	Chr13	13402902	13404176	LTR	LTR/Copia
Populus_alba|Chr13:13562012-13563290|LTR_1223-int	Populus_alba	Chr13	13562012	13563290	LTR	LTR/Copia
Populus_alba|Chr13:13565828-13566032|Denovo_Non_LTR_1	Populus_alba	Chr13	13565828	13566032	non-LTR	SINE/tRNA
Populus_alba|Chr13:13570047-13570357|TIR_72	Populus_alba	Chr13	13570047	13570357	TIR	DNA/other
Populus_alba|Chr13:16213736-16213911|TIR_16	Populus_alba	Chr13	16213736	16213911	non-LTR	SINE/tRNA
Populus_alba|Chr14:958284-958487|LTR_886-int	Populus_alba	Chr14	958284	958487	LTR	LTR/Copia
Populus_alba|Chr14:1184948-1185138|Denovo_Non_LTR_0	Populus_alba	Chr14	1184948	1185138	non-LTR	SINE/tRNA
Populus_alba|Chr14:2152500-2152803|TIR_122	Populus_alba	Chr14	2152500	2152803	TIR	DNA/hAT
Populus_alba|Chr14:2158480-2158633|TIR_16	Populus_alba	Chr14	2158480	2158633	non-LTR	SINE/tRNA
Populus_alba|Chr14:7270399-7270605|LTR_1175-int	Populus_alba	Chr14	7270399	7270605	LTR	LTR/Gypsy
Populus_alba|Chr14:7270961-7271115|TIR_13	Populus_alba	Chr14	7270961	7271115	TIR	DNA/PIF-Harbinger
Populus_alba|Chr14:7274766-7274946|TIR_16	Populus_alba	Chr14	7274766	7274946	non-LTR	SINE/tRNA
Populus_alba|Chr14:9267590-9267604|TIR_46	Populus_alba	Chr14	9267590	9267604	TIR	DNA/TcMar
Populus_alba|Chr14:9267604-9267623|TIR_16	Populus_alba	Chr14	9267604	9267623	non-LTR	SINE/tRNA
Populus_alba|Chr14:9267663-9267755|TIR_46	Populus_alba	Chr14	9267663	9267755	TIR	DNA/TcMar
Populus_alba|Chr14:9267755-9267780|TIR_16	Populus_alba	Chr14	9267755	9267780	non-LTR	SINE/tRNA
Populus_alba|Chr14:9268565-9268751|Denovo_Non_LTR_0	Populus_alba	Chr14	9268565	9268751	non-LTR	SINE/tRNA
Populus_alba|Chr14:9270794-9270827|LTR_1023-int	Populus_alba	Chr14	9270794	9270827	LTR	LTR/Copia
Populus_alba|Chr14:9270827-9270979|TIR_16	Populus_alba	Chr14	9270827	9270979	non-LTR	SINE/tRNA
Populus_alba|Chr14:11656925-11657052|TIR_4	Populus_alba	Chr14	11656925	11657052	TIR	DNA/hAT
Populus_alba|Chr14:11657052-11657068|TIR_16	Populus_alba	Chr14	11657052	11657068	non-LTR	SINE/tRNA
Populus_alba|Chr14:11674373-11674583|TIR_140	Populus_alba	Chr14	11674373	11674583	TIR	DNA/hAT
Populus_alba|Chr14:11674992-11675369|TIR_147	Populus_alba	Chr14	11674992	11675369	TIR	DNA/PIF-Harbinger
Populus_alba|Chr14:11675121-11675371|TIR_140	Populus_alba	Chr14	11675121	11675371	TIR	DNA/hAT
Populus_alba|Chr14:12469344-12469516|TIR_16	Populus_alba	Chr14	12469344	12469516	non-LTR	SINE/tRNA
Populus_alba|Chr14:12469893-12470206|LTR_1038-int	Populus_alba	Chr14	12469893	12470206	LTR	LTR/Copia
Populus_alba|Chr14:12668449-12668465|LTR_1038-int	Populus_alba	Chr14	12668449	12668465	LTR	LTR/Copia
Populus_alba|Chr14:12668465-12669013|LTR_14-LTR	Populus_alba	Chr14	12668465	12669013	LTR	LTR/Gypsy
Populus_alba|Chr14:12668982-12669050|LTR_468-LTR	Populus_alba	Chr14	12668982	12669050	LTR	LTR/Gypsy
Populus_alba|Chr14:12669094-12669120|LTR_427-LTR	Populus_alba	Chr14	12669094	12669120	LTR	LTR/Gypsy
Populus_alba|Chr14:12669120-12669197|LTR_172-LTR	Populus_alba	Chr14	12669120	12669197	LTR	LTR/Gypsy
Populus_alba|Chr15:9773839-9773903|LTR_1277-int	Populus_alba	Chr15	9773839	9773903	LTR	LTR/Copia
Populus_alba|Chr15:9773900-9773989|LTR_1277-int	Populus_alba	Chr15	9773900	9773989	LTR	LTR/Copia
Populus_alba|Chr15:9774128-9774353|LTR_1175-int	Populus_alba	Chr15	9774128	9774353	LTR	LTR/Gypsy
Populus_alba|Chr15:9774364-9774536|LTR_1277-int	Populus_alba	Chr15	9774364	9774536	LTR	LTR/Copia
Populus_alba|Chr15:9774627-9774860|LTR_1175-int	Populus_alba	Chr15	9774627	9774860	LTR	LTR/Gypsy
Populus_alba|Chr15:9777193-9777368|Homology_Non_LTR_1	Populus_alba	Chr15	9777193	9777368	non-LTR	SINE/tRNA
Populus_alba|Chr16:1858496-1858742|TIR_72	Populus_alba	Chr16	1858496	1858742	TIR	DNA/other
Populus_alba|Chr16:1862504-1862594|TIR_72	Populus_alba	Chr16	1862504	1862594	TIR	DNA/other
Populus_alba|Chr16:1863102-1863221|LTR_209-LTR	Populus_alba	Chr16	1863102	1863221	LTR	LTR/Gypsy
Populus_alba|Chr16:2398861-2399222|TIR_106	Populus_alba	Chr16	2398861	2399222	TIR	DNA/hAT
Populus_alba|Chr16:2399253-2399447|TIR_106	Populus_alba	Chr16	2399253	2399447	TIR	DNA/hAT
Populus_alba|Chr16:4691196-4692003|TIR_42	Populus_alba	Chr16	4691196	4692003	TIR	DNA/PIF-Harbinger
Populus_alba|Chr16:13784175-13784932|TIR_13	Populus_alba	Chr16	13784175	13784932	TIR	DNA/PIF-Harbinger
Populus_alba|Chr18:2438548-2438953|LTR_1038-int	Populus_alba	Chr18	2438548	2438953	LTR	LTR/Copia
Populus_alba|Chr18:2438697-2439362|TIR_112	Populus_alba	Chr18	2438697	2439362	TIR	DNA/TcMar
Populus_alba|Chr18:2443776-2443960|TIR_5	Populus_alba	Chr18	2443776	2443960	TIR	DNA/PIF-Harbinger
Populus_alba|Chr18:2443960-2443986|TIR_58	Populus_alba	Chr18	2443960	2443986	TIR	DNA/PIF-Harbinger
Populus_alba|Chr18:2444342-2444806|LTR_1175-int	Populus_alba	Chr18	2444342	2444806	LTR	LTR/Gypsy
Populus_alba|Chr19:19037683-19037790|LTR_985-int	Populus_alba	Chr19	19037683	19037790	LTR	LTR/Gypsy
Populus_alba|Chr19:22176956-22177047|Denovo_Non_LTR_1	Populus_alba	Chr19	22176956	22177047	non-LTR	SINE/tRNA
Populus_alba|Chr19:22177543-22177662|LTR_886-int	Populus_alba	Chr19	22177543	22177662	LTR	LTR/Copia
Populus_alba|Chr19:22177555-22177734|TIR_16	Populus_alba	Chr19	22177555	22177734	non-LTR	SINE/tRNA
Populus_alba|Chr2:1295191-1295216|LTR_408-LTR	Populus_alba	Chr2	1295191	1295216	LTR	LTR/Gypsy
Populus_alba|Chr2:1295216-1295382|LTR_1074-int	Populus_alba	Chr2	1295216	1295382	LTR	LTR/Gypsy
Populus_alba|Chr2:1295268-1295540|LTR_273-LTR	Populus_alba	Chr2	1295268	1295540	LTR	LTR/Gypsy
Populus_alba|Chr2:3382772-3382942|TIR_55	Populus_alba	Chr2	3382772	3382942	TIR	DNA/hAT
Populus_alba|Chr2:5071782-5071944|TIR_16	Populus_alba	Chr2	5071782	5071944	non-LTR	SINE/tRNA
Populus_alba|Chr2:5760685-5760958|TIR_22	Populus_alba	Chr2	5760685	5760958	TIR	DNA/other
Populus_alba|Chr2:5769127-5769168|TIR_13	Populus_alba	Chr2	5769127	5769168	TIR	DNA/PIF-Harbinger
Populus_alba|Chr2:5769168-5769331|TIR_42	Populus_alba	Chr2	5769168	5769331	TIR	DNA/PIF-Harbinger
Populus_alba|Chr2:8984507-8984708|TIR_16	Populus_alba	Chr2	8984507	8984708	non-LTR	SINE/tRNA
Populus_alba|Chr2:12104653-12104826|TIR_16	Populus_alba	Chr2	12104653	12104826	non-LTR	SINE/tRNA
Populus_alba|Chr3:13373423-13373495|TIR_19	Populus_alba	Chr3	13373423	13373495	TIR	DNA/PIF-Harbinger
Populus_alba|Chr3:13374653-13374894|LTR_886-int	Populus_alba	Chr3	13374653	13374894	LTR	LTR/Copia
Populus_alba|Chr3:13381793-13381969|Homology_Non_LTR_1	Populus_alba	Chr3	13381793	13381969	non-LTR	SINE/tRNA
Populus_alba|Chr3:20688076-20688258|TIR_22	Populus_alba	Chr3	20688076	20688258	TIR	DNA/other
Populus_alba|Chr4:10415059-10415196|LTR_607-LTR	Populus_alba	Chr4	10415059	10415196	LTR	LTR/Copia
Populus_alba|Chr4:10415275-10415388|TIR_5	Populus_alba	Chr4	10415275	10415388	TIR	DNA/PIF-Harbinger
Populus_alba|Chr4:10415292-10415448|TIR_46	Populus_alba	Chr4	10415292	10415448	TIR	DNA/TcMar
Populus_alba|Chr4:16367311-16367379|TIR_145	Populus_alba	Chr4	16367311	16367379	TIR	DNA/TcMar
Populus_alba|Chr4:17107134-17107165|TIR_5	Populus_alba	Chr4	17107134	17107165	TIR	DNA/PIF-Harbinger
Populus_alba|Chr4:17107165-17107316|TIR_46	Populus_alba	Chr4	17107165	17107316	TIR	DNA/TcMar
Populus_alba|Chr4:17107486-17107632|TIR_46	Populus_alba	Chr4	17107486	17107632	TIR	DNA/TcMar
Populus_alba|Chr4:17110858-17110917|LTR_886-int	Populus_alba	Chr4	17110858	17110917	LTR	LTR/Copia
Populus_alba|Chr4:17110920-17111072|TIR_16	Populus_alba	Chr4	17110920	17111072	non-LTR	SINE/tRNA
Populus_alba|Chr4:17601679-17601796|TIR_4	Populus_alba	Chr4	17601679	17601796	TIR	DNA/hAT
Populus_alba|Chr4:17606721-17606878|TIR_16	Populus_alba	Chr4	17606721	17606878	non-LTR	SINE/tRNA
Populus_alba|Chr4:17607294-17607447|LTR_1038-int	Populus_alba	Chr4	17607294	17607447	LTR	LTR/Copia
Populus_alba|Chr4:18458590-18458967|LTR_1059-int	Populus_alba	Chr4	18458590	18458967	LTR	LTR/Copia
Populus_alba|Chr4:21841002-21841199|Denovo_Non_LTR_12	Populus_alba	Chr4	21841002	21841199	non-LTR	SINE/tRNA
Populus_alba|Chr5:3818479-3818540|LTR_136-LTR	Populus_alba	Chr5	3818479	3818540	LTR	LTR/Copia
Populus_alba|Chr5:6138276-6138335|TIR_16	Populus_alba	Chr5	6138276	6138335	non-LTR	SINE/tRNA
Populus_alba|Chr5:9782576-9782604|TIR_12	Populus_alba	Chr5	9782576	9782604	TIR	DNA/hAT
Populus_alba|Chr5:9782604-9782776|TIR_147	Populus_alba	Chr5	9782604	9782776	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:9782897-9783194|TIR_22	Populus_alba	Chr5	9782897	9783194	TIR	DNA/other
Populus_alba|Chr5:9783817-9784029|TIR_16	Populus_alba	Chr5	9783817	9784029	non-LTR	SINE/tRNA
Populus_alba|Chr5:16172064-16172807|LTR_1051-int	Populus_alba	Chr5	16172064	16172807	LTR	LTR/Gypsy
Populus_alba|Chr5:21355746-21355853|LTR_1038-int	Populus_alba	Chr5	21355746	21355853	LTR	LTR/Copia
Populus_alba|Chr5:21359077-21359223|TIR_16	Populus_alba	Chr5	21359077	21359223	non-LTR	SINE/tRNA
Populus_alba|Chr5:21359939-21359950|TIR_58	Populus_alba	Chr5	21359939	21359950	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:21359992-21360057|TIR_4	Populus_alba	Chr5	21359992	21360057	TIR	DNA/hAT
Populus_alba|Chr5:21360057-21360079|TIR_58	Populus_alba	Chr5	21360057	21360079	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:22201046-22201178|TIR_46	Populus_alba	Chr5	22201046	22201178	TIR	DNA/TcMar
Populus_alba|Chr5:22203989-22204209|TIR_58	Populus_alba	Chr5	22203989	22204209	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:22204458-22204518|TIR_6	Populus_alba	Chr5	22204458	22204518	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:22204852-22205558|TIR_97	Populus_alba	Chr5	22204852	22205558	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:23067711-23067879|TIR_73	Populus_alba	Chr5	23067711	23067879	TIR	DNA/PIF-Harbinger
Populus_alba|Chr5:23070607-23070712|TIR_108	Populus_alba	Chr5	23070607	23070712	TIR	DNA/hAT
Populus_alba|Chr5:23071300-23071517|TIR_123	Populus_alba	Chr5	23071300	23071517	TIR	DNA/TcMar
Populus_alba|Chr6:2134231-2134682|LTR_64-LTR	Populus_alba	Chr6	2134231	2134682	LTR	LTR/Gypsy
Populus_alba|Chr6:2504180-2504294|TIR_16	Populus_alba	Chr6	2504180	2504294	non-LTR	SINE/tRNA
Populus_alba|Chr6:2504294-2504323|TIR_46	Populus_alba	Chr6	2504294	2504323	TIR	DNA/TcMar
Populus_alba|Chr6:4590287-4590479|TIR_10	Populus_alba	Chr6	4590287	4590479	TIR	DNA/other
Populus_alba|Chr6:4592014-4592387|TIR_57	Populus_alba	Chr6	4592014	4592387	Helitron	RC/Helitron
Populus_alba|Chr6:4592387-4593041|TIR_18	Populus_alba	Chr6	4592387	4593041	Helitron	RC/Helitron
Populus_alba|Chr6:4598192-4598947|TIR_32	Populus_alba	Chr6	4598192	4598947	TIR	DNA/hAT
Populus_alba|Chr6:4599804-4600813|TIR_13	Populus_alba	Chr6	4599804	4600813	TIR	DNA/PIF-Harbinger
Populus_alba|Chr6:4601060-4601190|TIR_46	Populus_alba	Chr6	4601060	4601190	TIR	DNA/TcMar
Populus_alba|Chr6:4601076-4601190|TIR_4	Populus_alba	Chr6	4601076	4601190	TIR	DNA/hAT
Populus_alba|Chr6:4601190-4601207|TIR_16	Populus_alba	Chr6	4601190	4601207	non-LTR	SINE/tRNA
Populus_alba|Chr6:4608600-4608915|TIR_65	Populus_alba	Chr6	4608600	4608915	TIR	DNA/CMC-EnSpm
Populus_alba|Chr6:6894307-6894569|LTR_866-int	Populus_alba	Chr6	6894307	6894569	LTR	LTR/Copia
Populus_alba|Chr6:22600452-22600617|TIR_4	Populus_alba	Chr6	22600452	22600617	TIR	DNA/hAT
Populus_alba|Chr6:22604668-22604856|LTR_886-int	Populus_alba	Chr6	22604668	22604856	LTR	LTR/Copia
Populus_alba|Chr6:25182896-25183003|LTR_1254-int	Populus_alba	Chr6	25182896	25183003	LTR	LTR/Gypsy
Populus_alba|Chr6:25183392-25183779|LTR_1254-int	Populus_alba	Chr6	25183392	25183779	LTR	LTR/Gypsy
Populus_alba|Chr7:2540083-2540218|LTR_1038-int	Populus_alba	Chr7	2540083	2540218	LTR	LTR/Copia
Populus_alba|Chr7:2541142-2541302|TIR_16	Populus_alba	Chr7	2541142	2541302	non-LTR	SINE/tRNA
Populus_alba|Chr7:2544072-2544199|Homology_Non_LTR_1	Populus_alba	Chr7	2544072	2544199	non-LTR	SINE/tRNA
Populus_alba|Chr8:468990-469698|TIR_73	Populus_alba	Chr8	468990	469698	TIR	DNA/PIF-Harbinger
Populus_alba|Chr8:469730-469921|TIR_73	Populus_alba	Chr8	469730	469921	TIR	DNA/PIF-Harbinger
Populus_alba|Chr8:474776-474834|TIR_108	Populus_alba	Chr8	474776	474834	TIR	DNA/hAT
Populus_alba|Chr8:829897-830047|LTR_944-int	Populus_alba	Chr8	829897	830047	LTR	LTR/Copia
Populus_alba|Chr8:829899-830062|LTR_1074-int	Populus_alba	Chr8	829899	830062	LTR	LTR/Gypsy
Populus_alba|Chr8:6933438-6933703|TIR_22	Populus_alba	Chr8	6933438	6933703	TIR	DNA/other
Populus_alba|Chr8:7844122-7844280|TIR_16	Populus_alba	Chr8	7844122	7844280	non-LTR	SINE/tRNA
Populus_alba|Chr9:5921552-5921756|TIR_58	Populus_alba	Chr9	5921552	5921756	TIR	DNA/PIF-Harbinger
Populus_alba|Chr9:5924934-5925126|TIR_113	Populus_alba	Chr9	5924934	5925126	TIR	DNA/TcMar
Populus_alba|Chr9:9936528-9936703|TIR_4	Populus_alba	Chr9	9936528	9936703	TIR	DNA/hAT
Populus_alba|Chr9:9936775-9936885|TIR_4	Populus_alba	Chr9	9936775	9936885	TIR	DNA/hAT
Populus_alba|Chr9:10337988-10338093|TIR_16	Populus_alba	Chr9	10337988	10338093	non-LTR	SINE/tRNA
Populus_alba|Chr9:10341371-10341419|LTR_445-LTR	Populus_alba	Chr9	10341371	10341419	LTR	LTR/other
Populus_alba|Chr9:12799334-12799493|TIR_46	Populus_alba	Chr9	12799334	12799493	TIR	DNA/TcMar
Populus_alba_var._pyramidalis|Chr1:13095331-13095445|TIR_19	Populus_alba_var._pyramidalis	Chr1	13095331	13095445	TIR	DNA/hAT
Populus_alba_var._pyramidalis|Chr1:13095495-13095588|TIR_19	Populus_alba_var._pyramidalis	Chr1	13095495	13095588	TIR	DNA/hAT
Populus_alba_var._pyramidalis|Chr1:30254842-30255482|TIR_14	Populus_alba_var._pyramidalis	Chr1	30254842	30255482	Helitron	RC/Helitron
Populus_alba_var._pyramidalis|Chr1:30255291-30255703|TIR_69	Populus_alba_var._pyramidalis	Chr1	30255291	30255703	TIR	DNA/PIF-Harbinger
Populus_alba_var._pyramidalis|Chr1:30255522-30255726|TIR_88	Populus_alba_var._pyramidalis	Chr1	30255522	30255726	TIR	DNA/hAT
Populus_alba_var._pyramidalis|Chr1:43236402-43236436|LTR_1020-int	Populus_alba_var._pyramidalis	Chr1	43236402	43236436	LTR	LTR/Gypsy
Populus_alba_var._pyramidalis|Chr1:43236487-43236588|TIR_61	Populus_alba_var._pyramidalis	Chr1	43236487	43236588	TIR	DNA/other
Populus_alba_var._pyramidalis|Chr1:43238666-43238745|TIR_52	Populus_alba_var._pyramidalis	Chr1	43238666	43238745	TIR	DNA/other
Populus_alba_var._pyramidalis|Chr1:48392901-48393170|LTR_633-LTR	Populus_alba_var._pyramidalis	Chr1	48392901	48393170	LTR	LTR/Gypsy
Populus_alba_var._pyramidalis|Chr1:48393122-48394248|LTR_1050-int	Populus_alba_var._pyramidalis	Chr1	48393122	48394248	LTR	LTR/Copia
Populus_alba_var._pyramidalis|Chr1:48394247-48394516|LTR_633-LTR	Populus_alba_var._pyramidalis	Chr1	48394247	48394516	LTR	LTR/Gypsy
