gene_id	species	chrom	window_start	window_end
Populus_adenopoda__Poade28342.t1	Populus_adenopoda	Chr16	458320	464986
Populus_adenopoda__Poade28580.t1	Populus_adenopoda	Chr16	2813559	2818962
Populus_adenopoda__Poade29288.t1	Populus_adenopoda	Chr16	12321649	12330189
Populus_adenopoda__Poade30269.t1	Populus_adenopoda	Chr17	1575699	1581474
Populus_adenopoda__Poade30339.t1	Populus_adenopoda	Chr17	2010524	2017415
Populus_adenopoda__Poade30377.t1	Populus_adenopoda	Chr17	2344757	2353248
Populus_adenopoda__Poade30488.t1	Populus_adenopoda	Chr17	3471614	3480749
Populus_adenopoda__LG17_exon1_exon4_exon2_exon3_exon5	Populus_adenopoda	Chr17	12128526	12135077
Populus_adenopoda__Poade32074.t1	Populus_adenopoda	Chr19	321566	327418
Populus_adenopoda__Poade32076.t1	Populus_adenopoda	Chr19	337954	348629
Populus_adenopoda__Poade32330.t1	Populus_adenopoda	Chr19	2035256	2040614
Populus_adenopoda__Poade32414.t1	Populus_adenopoda	Chr19	2531713	2538512
Populus_adenopoda__Poade32472.t1	Populus_adenopoda	Chr19	2925915	2930384
Populus_adenopoda__Poade32634.t5	Populus_adenopoda	Chr19	4033227	4040128
Populus_adenopoda__Poade32876.t1	Populus_adenopoda	Chr19	5665724	5670526
Populus_adenopoda__Poade32877.t1	Populus_adenopoda	Chr19	5669683	5674591
Populus_adenopoda__Poade33371.t1	Populus_adenopoda	Chr19	9922430	9928758
Populus_adenopoda__Poade04191.t1	Populus_adenopoda	Chr2	1897127	1903268
Populus_adenopoda__Poade04249.t1	Populus_adenopoda	Chr2	2314521	2321567
Populus_adenopoda__Poade04288.t1	Populus_adenopoda	Chr2	2765514	2775072
Populus_adenopoda__Poade04471.t1	Populus_adenopoda	Chr2	4301238	4310906
Populus_adenopoda__Poade04691.t1	Populus_adenopoda	Chr2	6439039	6450253
Populus_adenopoda__Poade04971.t1	Populus_adenopoda	Chr2	9063078	9069781
Populus_adenopoda__Poade06147.t1	Populus_adenopoda	Chr2	23001313	23007323
Populus_adenopoda__Poade06358.t1	Populus_adenopoda	Chr2	24980892	24986619
Populus_adenopoda__Poade06944.t1	Populus_adenopoda	Chr3	7825539	7829975
Populus_adenopoda__Poade07193.t1	Populus_adenopoda	Chr3	10746501	10753987
Populus_adenopoda__Poade07560.t3	Populus_adenopoda	Chr3	13744365	13750986
Populus_adenopoda__Poade07652.t1	Populus_adenopoda	Chr3	14440037	14444482
Populus_adenopoda__Poade07884.t1	Populus_adenopoda	Chr3	16620001	16627055
Populus_adenopoda__Poade08078.t1	Populus_adenopoda	Chr3	18276213	18284748
Populus_adenopoda__Poade08096.t2	Populus_adenopoda	Chr3	18466195	18472663
Populus_adenopoda__Poade08299.t1	Populus_adenopoda	Chr3	20239533	20246631
Populus_adenopoda__Poade08426.t1	Populus_adenopoda	Chr3	21101793	21106265
Populus_adenopoda__Poade08543.t1	Populus_adenopoda	Chr3	22083111	22087776
Populus_adenopoda__Poade08861.t1	Populus_adenopoda	Chr4	1667260	1676611
Populus_adenopoda__Poade09000.t1	Populus_adenopoda	Chr4	3100828	3110826
Populus_adenopoda__Poade09233.t2	Populus_adenopoda	Chr4	5605642	5611023
Populus_adenopoda__Poade09344.t1	Populus_adenopoda	Chr4	6860061	6866574
Populus_adenopoda__Poade09399.t1	Populus_adenopoda	Chr4	7372081	7376550
Populus_adenopoda__Poade09548.t1	Populus_adenopoda	Chr4	8839793	8846628
Populus_adenopoda__Poade09789.t1	Populus_adenopoda	Chr4	13311037	13315629
Populus_adenopoda__Poade10738.t1	Populus_adenopoda	Chr5	131964	137641
Populus_adenopoda__Poade10875.t1	Populus_adenopoda	Chr5	998063	1003077
Populus_adenopoda__Poade10991.t1	Populus_adenopoda	Chr5	1877282	1881760
Populus_adenopoda__Poade11116.t1	Populus_adenopoda	Chr5	2844909	2851136
Populus_adenopoda__Poade11321.t1	Populus_adenopoda	Chr5	4857144	4865032
Populus_adenopoda__Poade11339.t1	Populus_adenopoda	Chr5	5080412	5086832
Populus_adenopoda__Poade11514.t1	Populus_adenopoda	Chr5	7252101	7259148
Populus_adenopoda__Poade11834.t1	Populus_adenopoda	Chr5	12363510	12370480
Populus_adenopoda__Poade11889.t1	Populus_adenopoda	Chr5	12941827	12946317
Populus_adenopoda__Poade11981.t1	Populus_adenopoda	Chr5	13703197	13707819
Populus_adenopoda__Poade12228.t6	Populus_adenopoda	Chr5	16026122	16032905
Populus_adenopoda__Poade12499.t1	Populus_adenopoda	Chr5	18330146	18338832
Populus_adenopoda__Poade13011.t1	Populus_adenopoda	Chr6	1301291	1306006
Populus_adenopoda__Poade13090.t1	Populus_adenopoda	Chr6	1976273	1986054
Populus_adenopoda__Poade14010.t1	Populus_adenopoda	Chr6	10026067	10036008
Populus_adenopoda__Poade14703.t1	Populus_adenopoda	Chr6	19084169	19090764
Populus_adenopoda__Poade15729.t1	Populus_adenopoda	Chr7	13146067	13154463
Populus_adenopoda__Poade15777.t1	Populus_adenopoda	Chr7	13521043	13525647
Populus_adenopoda__Poade15845.t1	Populus_adenopoda	Chr7	14066334	14070767
Populus_adenopoda__Poade16631.t1	Populus_adenopoda	Chr7	20006547	20012899
Populus_adenopoda__Poade16685.t1	Populus_adenopoda	Chr7	20374093	20380231
Populus_adenopoda__Poade16829.t1	Populus_adenopoda	Chr8	454610	459911
Populus_adenopoda__Poade16832.t1	Populus_adenopoda	Chr8	465911	471789
Populus_adenopoda__Poade16887.t2	Populus_adenopoda	Chr8	741357	747864
Populus_adenopoda__Poade17757.t1	Populus_adenopoda	Chr8	7017311	7021744
Populus_adenopoda__Poade17830.t1	Populus_adenopoda	Chr8	7531320	7535924
Populus_adenopoda__Poade18892.t1	Populus_adenopoda	Chr8	19695581	19702207
Populus_alba__KAL3609257.1	Populus_alba	Chr1	3050276	3061230
Populus_alba__KAL3609676.1	Populus_alba	Chr1	7324756	7331562
Populus_alba__KAL3610209.1	Populus_alba	Chr1	12478702	12488622
Populus_alba__KAL3610968.1	Populus_alba	Chr1	25873903	25880254
Populus_alba__KAL3612229.1	Populus_alba	Chr1	41769262	41774104
Populus_alba__KAL3612257.1	Populus_alba	Chr1	42118179	42123824
Populus_alba__KAL3577481.1	Populus_alba	Chr10	387145	393976
Populus_alba__KAL3578523.1	Populus_alba	Chr10	13887277	13893607
Populus_alba__KAL3578587.1	Populus_alba	Chr10	14390670	14395277
Populus_alba__KAL3578651.1	Populus_alba	Chr10	14929584	14934017
Populus_alba__KAL3579501.1	Populus_alba	Chr10	21314651	21321135
Populus_alba__KAL3579546.1	Populus_alba	Chr10	21578068	21583938
Populus_alba__KAL3579548.1	Populus_alba	Chr10	21589483	21594779
Populus_alba__KAL3573666.1	Populus_alba	Chr13	3281603	3290148
Populus_alba__CM100082.1_exon1_exon4_exon6	Populus_alba	Chr13	13396481	13403257
Populus_alba__KAL3574345.1	Populus_alba	Chr13	13562963	13570953
Populus_alba__KAL3574582.1	Populus_alba	Chr13	16208840	16215519
Populus_alba__KAL3571432.1	Populus_alba	Chr14	957659	962242
Populus_alba__KAL3571452.1	Populus_alba	Chr14	1181585	1186021
Populus_alba__KAL3571576.1	Populus_alba	Chr14	2152502	2159325
Populus_alba__KAL3572086.1	Populus_alba	Chr14	7268189	7276142
Populus_alba__KAL3572317.1	Populus_alba	Chr14	9267228	9271649
Populus_alba__KAL3572606.1	Populus_alba	Chr14	11655600	11662659
Populus_alba__KAL3572608.1	Populus_alba	Chr14	11669993	11676863
Populus_alba__KAL3572695.1	Populus_alba	Chr14	12469118	12477031
Populus_alba__KAL3572716.1	Populus_alba	Chr14	12660799	12669278
Populus_alba__KAL3570848.1	Populus_alba	Chr15	9773849	9778480
Populus_alba__KAL3568887.1	Populus_alba	Chr16	1858008	1865580
Populus_alba__KAL3568951.1	Populus_alba	Chr16	2398225	2405101
Populus_alba__KAL3568988.1	Populus_alba	Chr16	2744785	2753266
Populus_alba__KAL3569131.1	Populus_alba	Chr16	4690905	4699669
Populus_alba__KAL3569774.1	Populus_alba	Chr16	13784423	13791002
Populus_alba__KAL3567425.1	Populus_alba	Chr17	4170069	4175460
Populus_alba__KAL3568220.1	Populus_alba	Chr17	16399907	16404490
Populus_alba__KAL3566150.1	Populus_alba	Chr18	2438634	2444560
Populus_alba__KAL3565629.1	Populus_alba	Chr19	19037325	19043097
Populus_alba__KAL3565883.1	Populus_alba	Chr19	22171154	22178518
Populus_alba__KAL3603304.1	Populus_alba	Chr2	1290715	1295378
Populus_alba__KAL3603414.1	Populus_alba	Chr2	2260795	2265267
Populus_alba__KAL3603560.1	Populus_alba	Chr2	3382769	3388494
Populus_alba__KAL3603737.1	Populus_alba	Chr2	5071277	5075722
Populus_alba__KAL3603824.1	Populus_alba	Chr2	5760933	5769251
Populus_alba__KAL3604180.1	Populus_alba	Chr2	8977574	8985017
Populus_alba__KAL3604436.1	Populus_alba	Chr2	12104421	12108857
Populus_alba__KAL3598114.1	Populus_alba	Chr3	2361916	2368518
Populus_alba__KAL3598797.1	Populus_alba	Chr3	13372023	13381972
Populus_alba__KAL3599602.1	Populus_alba	Chr3	20687859	20696665
Populus_alba__KAL3596973.1	Populus_alba	Chr4	10415175	10419767
Populus_alba__KAL3597232.1	Populus_alba	Chr4	15569877	15576668
Populus_alba__KAL3597302.1	Populus_alba	Chr4	16366832	16376357
Populus_alba__KAL3597373.1	Populus_alba	Chr4	17107057	17111526
Populus_alba__KAL3597419.1	Populus_alba	Chr4	17601729	17610262
Populus_alba__KAL3597498.1	Populus_alba	Chr4	18458664	18463472
Populus_alba__KAL3597745.1	Populus_alba	Chr4	20701990	20711850
Populus_alba__KAL3597872.1	Populus_alba	Chr4	21841165	21850028
Populus_alba__KAL3591378.1	Populus_alba	Chr5	3811817	3820780
Populus_alba__KAL3591632.1	Populus_alba	Chr5	6134666	6141922
Populus_alba__KAL3591902.1	Populus_alba	Chr5	9018795	9023399
Populus_alba__KAL3591982.1	Populus_alba	Chr5	9782497	9786987
Populus_alba__KAL3592031.1	Populus_alba	Chr5	10319050	10326024
Populus_alba__KAL3592370.1	Populus_alba	Chr5	16166099	16173106
Populus_alba__KAL3592544.1	Populus_alba	Chr5	18312951	18319483
Populus_alba__KAL3592565.1	Populus_alba	Chr5	18540045	18545399
Populus_alba__KAL3592768.1	Populus_alba	Chr5	20421163	20428275
Populus_alba__KAL3592894.1	Populus_alba	Chr5	21355684	21360162
Populus_alba__KAL3593011.1	Populus_alba	Chr5	22201125	22205867
Populus_alba__KAL3593137.1	Populus_alba	Chr5	23067186	23072099
Populus_alba__KAL3585141.1	Populus_alba	Chr6	2131118	2135970
Populus_alba__KAL3585192.1	Populus_alba	Chr6	2504088	2511166
Populus_alba__KAL3585228.1	Populus_alba	Chr6	2888818	2897791
Populus_alba__KAL3585398.1	Populus_alba	Chr6	4587079	4608699
Populus_alba__KAL3585626.1	Populus_alba	Chr6	6889329	6895110
Populus_alba__KAL3585885.1	Populus_alba	Chr6	9476762	9483486
Populus_alba__KAL3587027.1	Populus_alba	Chr6	22598994	22604972
Populus_alba__KAL3587260.1	Populus_alba	Chr6	25182639	25188526
Populus_alba__KAL3583202.1	Populus_alba	Chr7	687330	693296
Populus_alba__KAL3583397.1	Populus_alba	Chr7	2539910	2545551
Populus_alba__KAL3583518.1	Populus_alba	Chr7	3786192	3790688
Populus_alba__KAL3583606.1	Populus_alba	Chr7	4505986	4514613
Populus_alba__KAL3584085.1	Populus_alba	Chr7	11462211	11469760
Populus_alba__KAL3581175.1	Populus_alba	Chr8	469166	475309
Populus_alba__KAL3581240.1	Populus_alba	Chr8	829512	835859
Populus_alba__KAL3581993.1	Populus_alba	Chr8	6932516	6936949
Populus_alba__KAL3582065.1	Populus_alba	Chr8	7487510	7492114
Populus_alba__KAL3582114.1	Populus_alba	Chr8	7836471	7844698
Populus_alba__KAL3579770.1	Populus_alba	Chr9	2749666	2756466
Populus_alba__KAL3580118.1	Populus_alba	Chr9	5920530	5930472
Populus_alba__KAL3580513.1	Populus_alba	Chr9	8865505	8872411
Populus_alba__KAL3580672.1	Populus_alba	Chr9	9936284	9940753
Populus_alba__KAL3580730.1	Populus_alba	Chr9	10337867	10344688
Populus_alba__KAL3581054.1	Populus_alba	Chr9	12776848	12787669
Populus_alba__KAL3581056.1	Populus_alba	Chr9	12798051	12803891
Populus_alba_var_pyramidalis__Poalv00902.t1	Populus_alba_var._pyramidalis	Chr1	12561593	12567237
Populus_alba_var_pyramidalis__Poalv00947.t1	Populus_alba_var._pyramidalis	Chr1	13090802	13095965
Populus_alba_var_pyramidalis__Poalv02439.t1	Populus_alba_var._pyramidalis	Chr1	30254680	30261020
Populus_alba_var_pyramidalis__Poalv03260.t1	Populus_alba_var._pyramidalis	Chr1	43235189	43246152
Populus_alba_var_pyramidalis__Poalv03825.t1	Populus_alba_var._pyramidalis	Chr1	48392855	48399662
Populus_alba_var_pyramidalis__Poalv04249.t1	Populus_alba_var._pyramidalis	Chr1	51648951	51658871
Populus_alba_var_pyramidalis__Poalv04461.t1	Populus_alba_var._pyramidalis	Chr1	53122851	53127653
Populus_alba_var_pyramidalis__Poalv22959.t1	Populus_alba_var._pyramidalis	Chr10	7690768	7696342
Populus_alba_var_pyramidalis__Poalv23629.t1	Populus_alba_var._pyramidalis	Chr10	13273211	13284215
Populus_alba_var_pyramidalis__Poalv24554.t1	Populus_alba_var._pyramidalis	Chr11	120800	125236
Populus_alba_var_pyramidalis__Poalv24793.t1	Populus_alba_var._pyramidalis	Chr11	1880737	1887704
Populus_alba_var_pyramidalis__Poalv25164.t1	Populus_alba_var._pyramidalis	Chr11	4892198	4907401
Populus_alba_var_pyramidalis__Poalv25252.t1	Populus_alba_var._pyramidalis	Chr11	5486047	5490492
Populus_alba_var_pyramidalis__GWHACDA00000010_exon10_exon6_exon11_exon4_exon5_exon1_exon2_exon7	Populus_alba_var._pyramidalis	Chr11	6349096	6353945
Populus_alba_var_pyramidalis__Poalv25488.t1	Populus_alba_var._pyramidalis	Chr11	7385693	7390783
Populus_alba_var_pyramidalis__Poalv25697.t1	Populus_alba_var._pyramidalis	Chr11	8929101	8935283
Populus_alba_var_pyramidalis__Poalv25724.t1	Populus_alba_var._pyramidalis	Chr11	9115351	9121207
Populus_alba_var_pyramidalis__Poalv26081.t1	Populus_alba_var._pyramidalis	Chr11	12732148	12737162
Populus_alba_var_pyramidalis__Poalv27752.t1	Populus_alba_var._pyramidalis	Chr12	1936548	1941869
Populus_alba_var_pyramidalis__Poalv27762.t1	Populus_alba_var._pyramidalis	Chr12	1999123	2004435
Populus_alba_var_pyramidalis__Poalv27490.t1	Populus_alba_var._pyramidalis	Chr12	15685906	15691119
Populus_alba_var_pyramidalis__Poalv27952.t1	Populus_alba_var._pyramidalis	Chr13	443267	448372
Populus_alba_var_pyramidalis__Poalv28068.t1	Populus_alba_var._pyramidalis	Chr13	1696799	1702633
Populus_alba_var_pyramidalis__Poalv28213.t1	Populus_alba_var._pyramidalis	Chr13	2873524	2878443
Populus_alba_var_pyramidalis__Poalv28518.t1	Populus_alba_var._pyramidalis	Chr13	4953398	4958943
Populus_alba_var_pyramidalis__Poalv28673.t1	Populus_alba_var._pyramidalis	Chr13	6835545	6841091
Populus_alba_var_pyramidalis__Poalv28841.t1	Populus_alba_var._pyramidalis	Chr13	10263255	10268909
Populus_alba_var_pyramidalis__Poalv28987.t1	Populus_alba_var._pyramidalis	Chr13	11715793	11720700
Populus_alba_var_pyramidalis__Poalv29149.t1	Populus_alba_var._pyramidalis	Chr13	13692788	13697461
Populus_alba_var_pyramidalis__Poalv29285.t1	Populus_alba_var._pyramidalis	Chr13	14852940	14858369
Populus_alba_var_pyramidalis__Poalv30757.t1	Populus_alba_var._pyramidalis	Chr14	536070	548082
Populus_alba_var_pyramidalis__Poalv29504.t1	Populus_alba_var._pyramidalis	Chr14	2804201	2809162
Populus_alba_var_pyramidalis__Poalv29703.t1	Populus_alba_var._pyramidalis	Chr14	5357377	5362461
Populus_alba_var_pyramidalis__Poalv30045.t1	Populus_alba_var._pyramidalis	Chr14	10143663	10148962
Populus_alba_var_pyramidalis__Poalv30096.t1	Populus_alba_var._pyramidalis	Chr14	10631889	10636379
Populus_alba_var_pyramidalis__Poalv30456.t1	Populus_alba_var._pyramidalis	Chr14	13049000	13054218
Populus_alba_var_pyramidalis__Poalv31230.t1	Populus_alba_var._pyramidalis	Chr15	2300837	2308878
Populus_alba_var_pyramidalis__Poalv31233.t1	Populus_alba_var._pyramidalis	Chr15	2327396	2332375
Populus_alba_var_pyramidalis__Poalv31286.t1	Populus_alba_var._pyramidalis	Chr15	2819899	2826476
Populus_alba_var_pyramidalis__Poalv32253.t1	Populus_alba_var._pyramidalis	Chr15	13057297	13062276
Populus_alba_var_pyramidalis__Poalv32328.t1	Populus_alba_var._pyramidalis	Chr15	13544527	13549134
Populus_alba_var_pyramidalis__Poalv33591.t1	Populus_alba_var._pyramidalis	Chr16	1019620	1025108
Populus_alba_var_pyramidalis__GWHACDA00000014_exon1_exon5	Populus_alba_var._pyramidalis	Chr18	2619409	2625697
Populus_alba_var_pyramidalis__Poalv37504.t1	Populus_alba_var._pyramidalis	Chr19	1431825	1444890
Populus_alba_var_pyramidalis__Poalv37549.t1	Populus_alba_var._pyramidalis	Chr19	1848912	1854158
Populus_alba_var_pyramidalis__Poalv37554.t1	Populus_alba_var._pyramidalis	Chr19	1984059	1990485
Populus_alba_var_pyramidalis__Poalv37619.t1	Populus_alba_var._pyramidalis	Chr19	2456815	2461164
Populus_alba_var_pyramidalis__Poalv38520.t1	Populus_alba_var._pyramidalis	Chr19	11387170	11393527
Populus_alba_var_pyramidalis__Poalv38588.t1	Populus_alba_var._pyramidalis	Chr19	11925372	11932380
Populus_alba_var_pyramidalis__Poalv04897.t1	Populus_alba_var._pyramidalis	Chr2	1871415	1877573
Populus_alba_var_pyramidalis__Poalv04962.t1	Populus_alba_var._pyramidalis	Chr2	2342652	2348303
Populus_alba_var_pyramidalis__Poalv05009.t1	Populus_alba_var._pyramidalis	Chr2	2821823	2831330
Populus_alba_var_pyramidalis__Poalv05236.t1	Populus_alba_var._pyramidalis	Chr2	4395940	4405350
Populus_alba_var_pyramidalis__Poalv05535.t1	Populus_alba_var._pyramidalis	Chr2	6447064	6453884
Populus_alba_var_pyramidalis__Poalv05845.t1	Populus_alba_var._pyramidalis	Chr2	8879774	8886462
Populus_alba_var_pyramidalis__Poalv07173.t1	Populus_alba_var._pyramidalis	Chr2	22905462	22910931
Populus_alba_var_pyramidalis__Poalv07460.t1	Populus_alba_var._pyramidalis	Chr2	25094142	25099869
Populus_alba_var_pyramidalis__Poalv07533.t1	Populus_alba_var._pyramidalis	Chr3	467721	472400
Populus_alba_var_pyramidalis__Poalv07557.t1	Populus_alba_var._pyramidalis	Chr3	616804	626254
Populus_alba_var_pyramidalis__Poalv07705.t1	Populus_alba_var._pyramidalis	Chr3	1911867	1919544
Populus_alba_var_pyramidalis__Poalv08559.t1	Populus_alba_var._pyramidalis	Chr3	8585284	8589705
Populus_alba_var_pyramidalis__Poalv09808.t1	Populus_alba_var._pyramidalis	Chr4	466783	471513
Populus_alba_var_pyramidalis__Poalv10598.t1	Populus_alba_var._pyramidalis	Chr4	10842325	10852618
Populus_alba_var_pyramidalis__Poalv12097.t1	Populus_alba_var._pyramidalis	Chr4	22909532	22916113
Populus_alba_var_pyramidalis__Poalv12445.t1	Populus_alba_var._pyramidalis	Chr5	1351837	1356462
Populus_alba_var_pyramidalis__Poalv12580.t1	Populus_alba_var._pyramidalis	Chr5	2677013	2681755
Populus_alba_var_pyramidalis__Poalv12707.t1	Populus_alba_var._pyramidalis	Chr5	3582478	3587178
Populus_alba_var_pyramidalis__Poalv13268.t1	Populus_alba_var._pyramidalis	Chr5	8946901	8952726
Populus_alba_var_pyramidalis__Poalv13773.t1	Populus_alba_var._pyramidalis	Chr5	16496267	16501551
Populus_alba_var_pyramidalis__Poalv13978.t1	Populus_alba_var._pyramidalis	Chr5	17980606	17985890
Populus_alba_var_pyramidalis__Poalv14254.t1	Populus_alba_var._pyramidalis	Chr5	19719950	19724776
Populus_alba_var_pyramidalis__Poalv16443.t1	Populus_alba_var._pyramidalis	Chr6	2948136	2953625
Populus_alba_var_pyramidalis__Poalv16597.t1	Populus_alba_var._pyramidalis	Chr6	4304875	4311227
Populus_alba_var_pyramidalis__Poalv16639.t1	Populus_alba_var._pyramidalis	Chr6	4696165	4705537
Populus_alba_var_pyramidalis__Poalv16651.t1	Populus_alba_var._pyramidalis	Chr6	4810726	4818070
Populus_alba_var_pyramidalis__Poalv16732.t1	Populus_alba_var._pyramidalis	Chr6	5520414	5525258
Populus_alba_var_pyramidalis__Poalv16956.t1	Populus_alba_var._pyramidalis	Chr6	8359486	8364537
Populus_alba_var_pyramidalis__Poalv15078.t1	Populus_alba_var._pyramidalis	Chr6	14398873	14404729
Populus_alba_var_pyramidalis__Poalv15682.t1	Populus_alba_var._pyramidalis	Chr6	19586562	19593019
Populus_alba_var_pyramidalis__Poalv18665.t1	Populus_alba_var._pyramidalis	Chr7	11606408	11616663
Populus_alba_var_pyramidalis__Poalv19254.t1	Populus_alba_var._pyramidalis	Chr7	18953466	18957977
Populus_alba_var_pyramidalis__GWHACDA00000006_exon6_exon5_exon3_exon4	Populus_alba_var._pyramidalis	Chr7	20528045	20534879
Populus_alba_var_pyramidalis__Poalv19519.t1	Populus_alba_var._pyramidalis	Chr8	803551	811156
Populus_alba_var_pyramidalis__Poalv19699.t1	Populus_alba_var._pyramidalis	Chr8	2408810	2413279
Populus_alba_var_pyramidalis__Poalv19761.t1	Populus_alba_var._pyramidalis	Chr8	2969298	2975350
Populus_alba_var_pyramidalis__Poalv19897.t1	Populus_alba_var._pyramidalis	Chr8	3984768	3989949
Populus_alba_var_pyramidalis__Poalv20188.t1	Populus_alba_var._pyramidalis	Chr8	7918012	7929356
Populus_alba_var_pyramidalis__Poalv20190.t1	Populus_alba_var._pyramidalis	Chr8	7959782	7966656
Populus_alba_var_pyramidalis__Poalv21832.t1	Populus_alba_var._pyramidalis	Chr9	12527070	12533466
Populus_alba_var_pyramidalis__Poalv21946.t1	Populus_alba_var._pyramidalis	Chr9	13792091	13797556
Populus_davidiana__Podav00079.t1	Populus_davidiana	Chr1	524721	529523
Populus_davidiana__Podav00453.t2	Populus_davidiana	Chr1	3946513	3957472
Populus_davidiana__Podav00889.t2	Populus_davidiana	Chr1	8199288	8205698
Populus_davidiana__Podav01471.t1	Populus_davidiana	Chr1	13318575	13328494
Populus_davidiana__Podav02319.t3	Populus_davidiana	Chr1	25969835	25974753
Populus_davidiana__Podav03852.t1	Populus_davidiana	Chr1	45818595	45823635
Populus_davidiana__Podav03898.t2	Populus_davidiana	Chr1	46365250	46370850
Populus_davidiana__Podav23606.t1	Populus_davidiana	Chr10	18855494	18861973
Populus_davidiana__Podav23845.t1	Populus_davidiana	Chr10	21856503	21863291
Populus_davidiana__LG11_exon3_exon4	Populus_davidiana	Chr11	943231	955205
Populus_davidiana__Podav23989.t2	Populus_davidiana	Chr11	943231	950218
Populus_davidiana__Podav25168.t1	Populus_davidiana	Chr11	14316431	14321038
Populus_davidiana__Podav25239.t1	Populus_davidiana	Chr11	14828703	14833115
Populus_davidiana__Podav26132.t1	Populus_davidiana	Chr11	21116557	21123033
Populus_davidiana__Podav26188.t1	Populus_davidiana	Chr11	21407558	21423296
Populus_davidiana__Podav27261.t1	Populus_davidiana	Chr12	10301969	10310382
Populus_davidiana__Podav27312.t1	Populus_davidiana	Chr12	10657680	10662284
Populus_davidiana__Podav27379.t1	Populus_davidiana	Chr12	11160899	11165341
Populus_davidiana__Podav28189.t1	Populus_davidiana	Chr12	17086322	17092671
Populus_davidiana__Podav28255.t1	Populus_davidiana	Chr12	17446272	17452413
Populus_davidiana__Podav29483.t3	Populus_davidiana	Chr13	13746932	13752826
Populus_davidiana__Podav29880.t1	Populus_davidiana	Chr14	455622	460304
Populus_davidiana__Podav30004.t1	Populus_davidiana	Chr14	1616799	1621295
Populus_davidiana__Podav30094.t1	Populus_davidiana	Chr14	2333419	2340258
Populus_davidiana__Podav30657.t1	Populus_davidiana	Chr14	9984089	9991495
Populus_davidiana__Podav31058.t1	Populus_davidiana	Chr14	14086109	14093749
Populus_davidiana__Podav32244.t1	Populus_davidiana	Chr15	10865362	10869993
Populus_davidiana__Podav33066.t1	Populus_davidiana	Chr16	2925122	2933649
Populus_davidiana__Podav33798.t1	Populus_davidiana	Chr16	12019600	12026149
Populus_davidiana__Podav34041.t3	Populus_davidiana	Chr16	14255344	14262004
Populus_davidiana__Podav34528.t1	Populus_davidiana	Chr17	10686037	10695184
Populus_davidiana__Podav34666.t1	Populus_davidiana	Chr17	12458388	12466862
Populus_davidiana__Podav34703.t1	Populus_davidiana	Chr17	12807657	12814550
Populus_davidiana__Podav34761.t1	Populus_davidiana	Chr17	13222616	13228387
Populus_davidiana__Podav36695.t1	Populus_davidiana	Chr19	1362376	1368643
Populus_davidiana__Podav36696.t1	Populus_davidiana	Chr19	1367821	1372261
Populus_davidiana__Podav36976.t2	Populus_davidiana	Chr19	4118242	4124570
Populus_davidiana__Podav37571.t2	Populus_davidiana	Chr19	9018868	9025795
Populus_davidiana__Podav37750.t1	Populus_davidiana	Chr19	10123200	10127669
Populus_davidiana__Podav37808.t1	Populus_davidiana	Chr19	10532934	10539721
Populus_davidiana__Podav37893.t1	Populus_davidiana	Chr19	11018804	11024155
Populus_davidiana__Podav38153.t1	Populus_davidiana	Chr19	12745468	12756186
Populus_davidiana__Podav38155.t2	Populus_davidiana	Chr19	12766857	12772698
