Species	OrthoFinder_ID	gene_chr	gene_start	gene_end	TE_positive
Populus_alba	Populus_alba__KAL3603737.1	Chr2	5073278	5073722	True
Populus_alba	Populus_alba__KAL3603824.1	Chr2	5762934	5767251	True
Populus_alba	Populus_alba__KAL3604180.1	Chr2	8979575	8983017	True
Populus_alba	Populus_alba__KAL3604436.1	Chr2	12106422	12106857	True
Populus_alba	Populus_alba__KAL3598114.1	Chr3	2363917	2366518	False
Populus_alba	Populus_alba__KAL3598797.1	Chr3	13374024	13379972	True
Populus_alba	Populus_alba__KAL3599602.1	Chr3	20689860	20694665	True
Populus_alba	Populus_alba__KAL3596973.1	Chr4	10417176	10417767	True
Populus_alba	Populus_alba__KAL3597232.1	Chr4	15571878	15574668	False
Populus_alba	Populus_alba__KAL3597302.1	Chr4	16368833	16374357	True
Populus_alba	Populus_alba__KAL3597373.1	Chr4	17109058	17109526	True
Populus_alba	Populus_alba__KAL3597419.1	Chr4	17603730	17608262	True
Populus_alba	Populus_alba__KAL3597498.1	Chr4	18460665	18461472	True
Populus_alba	Populus_alba__KAL3597745.1	Chr4	20703991	20709850	False
Populus_alba	Populus_alba__KAL3597872.1	Chr4	21843166	21848028	True
Populus_alba	Populus_alba__KAL3591378.1	Chr5	3813818	3818780	True
Populus_alba	Populus_alba__KAL3591632.1	Chr5	6136667	6139922	True
Populus_alba	Populus_alba__KAL3591902.1	Chr5	9020796	9021399	False
Populus_alba	Populus_alba__KAL3591982.1	Chr5	9784498	9784987	True
Populus_alba	Populus_alba__KAL3592031.1	Chr5	10321051	10324024	False
Populus_alba	Populus_alba__KAL3592370.1	Chr5	16168100	16171106	True
Populus_alba	Populus_alba__KAL3592544.1	Chr5	18314952	18317483	False
Populus_alba	Populus_alba__KAL3592565.1	Chr5	18542046	18543399	False
Populus_alba	Populus_alba__KAL3592768.1	Chr5	20423164	20426275	False
Populus_alba	Populus_alba__KAL3592894.1	Chr5	21357685	21358162	True
Populus_alba	Populus_alba__KAL3593011.1	Chr5	22203126	22203867	True
Populus_alba	Populus_alba__KAL3593137.1	Chr5	23069187	23070099	True
Populus_alba	Populus_alba__KAL3585141.1	Chr6	2133119	2133970	True
Populus_alba	Populus_alba__KAL3585192.1	Chr6	2506089	2509166	True
Populus_alba	Populus_alba__KAL3585228.1	Chr6	2890819	2895791	False
Populus_alba	Populus_alba__KAL3585398.1	Chr6	4589080	4606699	True
Populus_alba	Populus_alba__KAL3585626.1	Chr6	6891330	6893110	True
Populus_alba	Populus_alba__KAL3585885.1	Chr6	9478763	9481486	False
Populus_alba	Populus_alba__KAL3587027.1	Chr6	22600995	22602972	True
Populus_alba	Populus_alba__KAL3587260.1	Chr6	25184640	25186526	True
Populus_alba	Populus_alba__KAL3583202.1	Chr7	689331	691296	False
Populus_alba	Populus_alba__KAL3583397.1	Chr7	2541911	2543551	True
Populus_alba	Populus_alba__KAL3583518.1	Chr7	3788193	3788688	False
Populus_alba	Populus_alba__KAL3583606.1	Chr7	4507987	4512613	False
Populus_alba	Populus_alba__KAL3584085.1	Chr7	11464212	11467760	False
Populus_alba	Populus_alba__KAL3581175.1	Chr8	471167	473309	True
Populus_alba	Populus_alba__KAL3581240.1	Chr8	831513	833859	True
Populus_alba	Populus_alba__KAL3581993.1	Chr8	6934517	6934949	True
Populus_alba	Populus_alba__KAL3582065.1	Chr8	7489511	7490114	False
Populus_alba	Populus_alba__KAL3582114.1	Chr8	7838472	7842698	True
Populus_alba	Populus_alba__KAL3579770.1	Chr9	2751667	2754466	False
Populus_alba	Populus_alba__KAL3580118.1	Chr9	5922531	5928472	True
Populus_alba	Populus_alba__KAL3580513.1	Chr9	8867506	8870411	False
Populus_alba	Populus_alba__KAL3580672.1	Chr9	9938285	9938753	True
Populus_alba	Populus_alba__KAL3580730.1	Chr9	10339868	10342688	True
Populus_alba	Populus_alba__KAL3581054.1	Chr9	12778849	12785669	False
Populus_alba	Populus_alba__KAL3581056.1	Chr9	12800052	12801891	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv00902.t1	Chr1	12563594	12565237	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv00947.t1	Chr1	13092803	13093965	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv02439.t1	Chr1	30256681	30259020	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv03260.t1	Chr1	43237190	43244152	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv03825.t1	Chr1	48394856	48397662	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv04249.t1	Chr1	51650952	51656871	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv04461.t1	Chr1	53124852	53125653	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv22959.t1	Chr10	7692769	7694342	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv23629.t1	Chr10	13275212	13282215	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv24554.t1	Chr11	122801	123236	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv24793.t1	Chr11	1882738	1885704	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv25164.t1	Chr11	4894199	4905401	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv25252.t1	Chr11	5488048	5488492	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__GWHACDA00000010_exon10_exon6_exon11_exon4_exon5_exon1_exon2_exon7	Chr11	6351097	6351945	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv25488.t1	Chr11	7387694	7388783	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv25697.t1	Chr11	8931102	8933283	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv25724.t1	Chr11	9117352	9119207	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv26081.t1	Chr11	12734149	12735162	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv27752.t1	Chr12	1938549	1939869	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv27762.t1	Chr12	2001124	2002435	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv27490.t1	Chr12	15687907	15689119	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv27952.t1	Chr13	445268	446372	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv28068.t1	Chr13	1698800	1700633	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv28213.t1	Chr13	2875525	2876443	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv28518.t1	Chr13	4955399	4956943	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv28673.t1	Chr13	6837546	6839091	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv28841.t1	Chr13	10265256	10266909	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv28987.t1	Chr13	11717794	11718700	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv29149.t1	Chr13	13694789	13695461	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv29285.t1	Chr13	14854941	14856369	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv30757.t1	Chr14	538071	546082	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv29504.t1	Chr14	2806202	2807162	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv29703.t1	Chr14	5359378	5360461	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv30045.t1	Chr14	10145664	10146962	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv30096.t1	Chr14	10633890	10634379	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv30456.t1	Chr14	13051001	13052218	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv31230.t1	Chr15	2302838	2306878	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv31233.t1	Chr15	2329397	2330375	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv31286.t1	Chr15	2821900	2824476	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv32253.t1	Chr15	13059298	13060276	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv32328.t1	Chr15	13546528	13547134	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv33591.t1	Chr16	1021621	1023108	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__GWHACDA00000014_exon1_exon5	Chr18	2621410	2623697	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv37504.t1	Chr19	1433826	1442890	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv37549.t1	Chr19	1850913	1852158	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv37554.t1	Chr19	1986060	1988485	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv37619.t1	Chr19	2458816	2459164	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv38520.t1	Chr19	11389171	11391527	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv38588.t1	Chr19	11927373	11930380	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv04897.t1	Chr2	1873416	1875573	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv04962.t1	Chr2	2344653	2346303	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv05009.t1	Chr2	2823824	2829330	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv05236.t1	Chr2	4397941	4403350	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv05535.t1	Chr2	6449065	6451884	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv05845.t1	Chr2	8881775	8884462	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv07173.t1	Chr2	22907463	22908931	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv07460.t1	Chr2	25096143	25097869	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv07533.t1	Chr3	469722	470400	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv07557.t1	Chr3	618805	624254	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv07705.t1	Chr3	1913868	1917544	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv08559.t1	Chr3	8587285	8587705	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv09808.t1	Chr4	468784	469513	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv10598.t1	Chr4	10844326	10850618	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv12097.t1	Chr4	22911533	22914113	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv12445.t1	Chr5	1353838	1354462	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv12580.t1	Chr5	2679014	2679755	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv12707.t1	Chr5	3584479	3585178	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv13268.t1	Chr5	8948902	8950726	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv13773.t1	Chr5	16498268	16499551	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv13978.t1	Chr5	17982607	17983890	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv14254.t1	Chr5	19721951	19722776	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv16443.t1	Chr6	2950137	2951625	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv16597.t1	Chr6	4306876	4309227	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv16639.t1	Chr6	4698166	4703537	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv16651.t1	Chr6	4812727	4816070	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv16732.t1	Chr6	5522415	5523258	False
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv16956.t1	Chr6	8361487	8362537	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv15078.t1	Chr6	14400874	14402729	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv15682.t1	Chr6	19588563	19591019	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv18665.t1	Chr7	11608409	11614663	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv19254.t1	Chr7	18955467	18955977	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__GWHACDA00000006_exon6_exon5_exon3_exon4	Chr7	20530046	20532879	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv19519.t1	Chr8	805552	809156	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv19699.t1	Chr8	2410811	2411279	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv19761.t1	Chr8	2971299	2973350	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv19897.t1	Chr8	3986769	3987949	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv20188.t1	Chr8	7920013	7927356	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv20190.t1	Chr8	7961783	7964656	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv21832.t1	Chr9	12529071	12531466	True
Populus_alba_var._pyramidalis	Populus_alba_var_pyramidalis__Poalv21946.t1	Chr9	13794092	13795556	True
Populus_davidiana	Populus_davidiana__Podav00079.t1	Chr1	526722	527523	True
Populus_davidiana	Populus_davidiana__Podav00453.t2	Chr1	3948514	3955472	True
Populus_davidiana	Populus_davidiana__Podav00889.t2	Chr1	8201289	8203698	True
Populus_davidiana	Populus_davidiana__Podav01471.t1	Chr1	13320576	13326494	True
Populus_davidiana	Populus_davidiana__Podav02319.t3	Chr1	25971836	25972753	False
Populus_davidiana	Populus_davidiana__Podav03852.t1	Chr1	45820596	45821635	True
Populus_davidiana	Populus_davidiana__Podav03898.t2	Chr1	46367251	46368850	False
Populus_davidiana	Populus_davidiana__Podav23606.t1	Chr10	18857495	18859973	True
Populus_davidiana	Populus_davidiana__Podav23845.t1	Chr10	21858504	21861291	True
Populus_davidiana	Populus_davidiana__LG11_exon3_exon4	Chr11	945232	953205	True
Populus_davidiana	Populus_davidiana__Podav23989.t2	Chr11	945232	948218	True
Populus_davidiana	Populus_davidiana__Podav25168.t1	Chr11	14318432	14319038	True
Populus_davidiana	Populus_davidiana__Podav25239.t1	Chr11	14830704	14831115	True
Populus_davidiana	Populus_davidiana__Podav26132.t1	Chr11	21118558	21121033	True
Populus_davidiana	Populus_davidiana__Podav26188.t1	Chr11	21409559	21421296	True
Populus_davidiana	Populus_davidiana__Podav27261.t1	Chr12	10303970	10308382	True
Populus_davidiana	Populus_davidiana__Podav27312.t1	Chr12	10659681	10660284	True
Populus_davidiana	Populus_davidiana__Podav27379.t1	Chr12	11162900	11163341	False
Populus_davidiana	Populus_davidiana__Podav28189.t1	Chr12	17088323	17090671	True
Populus_davidiana	Populus_davidiana__Podav28255.t1	Chr12	17448273	17450413	True
Populus_davidiana	Populus_davidiana__Podav29483.t3	Chr13	13748933	13750826	True
Populus_davidiana	Populus_davidiana__Podav29880.t1	Chr14	457623	458304	True
Populus_davidiana	Populus_davidiana__Podav30004.t1	Chr14	1618800	1619295	True
Populus_davidiana	Populus_davidiana__Podav30094.t1	Chr14	2335420	2338258	False
Populus_davidiana	Populus_davidiana__Podav30657.t1	Chr14	9986090	9989495	False
Populus_davidiana	Populus_davidiana__Podav31058.t1	Chr14	14088110	14091749	False
Populus_davidiana	Populus_davidiana__Podav32244.t1	Chr15	10867363	10867993	True
