Orthogroup	Populus_adenopoda	Populus_alba	Populus_alba_var__pyramidalis	Populus_davidiana	Populus_deltoide	Populus_euphratica	Populus_ilicifolia	Populus_koreana	Populus_lasiocarpa	Populus_pruinosa	Populus_pseudoglauca	Populus_qiongdaoensis	Populus_rotundifolia	Populus_simonii	Populus_szechuanica	Populus_tremula	Populus_trichocarpa	Populus_wuana	Populus_yunnanensis
OG0000010	Populus_adenopoda__Poade04288.t1, Populus_adenopoda__Poade30377.t1	Populus_alba__KAL3568988.1, Populus_alba__KAL3585228.1	Populus_alba_var__pyramidalis__Poalv05009.t1, Populus_alba_var__pyramidalis__Poalv16597.t1	Populus_davidiana__Podav09516.t1, Populus_davidiana__Podav34666.t1	Populus_deltoide__Podel.06G038900.1.v2.1, Populus_deltoide__Podel.16G039500.1.v2.1	Populus_euphratica__Poeup09768.t1, Populus_euphratica__Poeup25361.t1	Populus_ilicifolia__evm.model.scaffold185_cov102.186, Populus_ilicifolia__evm.model.scaffold894_cov107.121	Populus_koreana__Pokor04806.t1, Populus_koreana__Pokor30283.t1	Populus_lasiocarpa__Polas07236.t1, Populus_lasiocarpa__Polas34805.t1	Populus_pruinosa__PprTF06G0288.1, Populus_pruinosa__PprTF16G0273.1	Populus_pseudoglauca__Popse05058.t2, Populus_pseudoglauca__Popse35884.t1	Populus_qiongdaoensis__Poqio36105.t1	Populus_rotundifolia__Porot07225.t1, Populus_rotundifolia__Porot27989.t1	Populus_simonii__Posim05646.t1, Populus_simonii__Posim36345.t1	Populus_szechuanica__Posze07272.t1, Populus_szechuanica__Posze32370.t1	Populus_tremula__Potra2n16c29535.1, Populus_tremula__Potra2n6c15078.2	Populus_trichocarpa__Potri.006G039000.1.v4.1, Populus_trichocarpa__Potri.016G036500.1.v4.1	Populus_wuana__Powua06889.t1, Populus_wuana__Powua33538.t1	Populus_yunnanensis__Poyun07264.t1, Populus_yunnanensis__Poyun36026.t1
OG0000011	Populus_adenopoda__Poade06147.t1, Populus_adenopoda__Poade26761.t1	Populus_alba__KAL3566150.1, Populus_alba__KAL3587027.1	Populus_alba_var__pyramidalis__Poalv07173.t1, Populus_alba_var__pyramidalis__Poalv12097.t1	Populus_davidiana__Podav07536.t1, Populus_davidiana__Podav29483.t3	Populus_deltoide__Podel.06G265700.1.v2.1, Populus_deltoide__Podel.18G029700.1.v2.1	Populus_euphratica__Poeup04775.t1, Populus_euphratica__Poeup27401.t1	Populus_ilicifolia__evm.model.scaffold363_cov103.137, Populus_ilicifolia__evm.model.scaffold365_cov106.228	Populus_koreana__Pokor06845.t2, Populus_koreana__Pokor28864.t1	Populus_lasiocarpa__Polas05071.t1, Populus_lasiocarpa__Polas26037.t1	Populus_pruinosa__PprTF06G2103.1, Populus_pruinosa__PprTF18G0212.1	Populus_pseudoglauca__Popse07149.t1, Populus_pseudoglauca__Popse29992.t6	Populus_qiongdaoensis__Poqio39000.t1	Populus_rotundifolia__Porot09216.t2, Populus_rotundifolia__Porot29416.t7	Populus_simonii__Posim07726.t2, Populus_simonii__Posim32025.t1	Populus_szechuanica__Posze05134.t1, Populus_szechuanica__Posze34593.t1	Populus_tremula__Potra2n18c32994.1, Populus_tremula__Potra2n6c13087.1	Populus_trichocarpa__Potri.006G251800.2.v4.1, Populus_trichocarpa__Potri.018G029500.1.v4.1	Populus_wuana__Powua04804.t2, Populus_wuana__Powua27806.t1	Populus_yunnanensis__Poyun05076.t1, Populus_yunnanensis__Poyun33708.t1
OG0000012	Populus_adenopoda__Poade07884.t1, Populus_adenopoda__Poade11514.t1	Populus_alba__KAL3572606.1, Populus_alba__KAL3592370.1	Populus_alba_var__pyramidalis__Poalv25488.t1, Populus_alba_var__pyramidalis__Poalv29703.t1	Populus_davidiana__Podav12488.t1, Populus_davidiana__Podav17313.t1	Populus_deltoide__Podel.02G098500.1.v2.1, Populus_deltoide__Podel.05G181100.1.v2.1	Populus_euphratica__Poeup15834.t1, Populus_euphratica__Poeup29194.t1	Populus_ilicifolia__evm.model.scaffold5_cov102.49, Populus_ilicifolia__evm.model.scaffold933_cov112.5	Populus_koreana__Pokor08053.t1, Populus_koreana__Pokor11364.t1	Populus_lasiocarpa__Polas08542.t1, Populus_lasiocarpa__Polas12000.t1	Populus_pruinosa__PprTF02G0832.1, Populus_pruinosa__PprTF05G1301.1	Populus_pseudoglauca__Popse10873.t2, Populus_pseudoglauca__Popse13593.t1	Populus_qiongdaoensis__Poqio14061.t1	Populus_rotundifolia__Porot11098.t1, Populus_rotundifolia__Porot13595.t2	Populus_simonii__Posim08949.t1, Populus_simonii__Posim11734.t3	Populus_szechuanica__Posze11135.t1, Populus_szechuanica__Posze13760.t1	Populus_tremula__Potra2n2c5587.1, Populus_tremula__Potra2n5c11336.1	Populus_trichocarpa__Potri.002G090700.5.v4.1, Populus_trichocarpa__Potri.005G170500.1.v4.1	Populus_wuana__Powua08091.t1, Populus_wuana__Powua12999.t2	Populus_yunnanensis__Poyun11875.t1, Populus_yunnanensis__Poyun13690.t1
OG0000013	Populus_adenopoda__Poade08426.t1, Populus_adenopoda__Poade10991.t1	Populus_alba__KAL3592894.1, Populus_alba__KAL3603414.1	Populus_alba_var__pyramidalis__Poalv26081.t1, Populus_alba_var__pyramidalis__Poalv29149.t1	Populus_davidiana__Podav11933.t1, Populus_davidiana__Podav16729.t1	Populus_deltoide__Podel.02G034200.1.v2.1, Populus_deltoide__Podel.05G245900.1.v2.1	Populus_euphratica__Poeup16415.t1, Populus_euphratica__Poeup29786.t1	Populus_ilicifolia__evm.model.scaffold47_cov104.156, Populus_ilicifolia__evm.model.scaffold96_cov103.290	Populus_koreana__Pokor07461.t1, Populus_koreana__Pokor11957.t1	Populus_lasiocarpa__Polas07914.t1, Populus_lasiocarpa__Polas12599.t1	Populus_pruinosa__PprTF02G0284.1, Populus_pruinosa__PprTF05G1865.1	Populus_pseudoglauca__Popse10274.t1, Populus_pseudoglauca__Popse12995.t1	Populus_qiongdaoensis__Poqio07720.t1, Populus_qiongdaoensis__Poqio13302.t1	Populus_rotundifolia__Porot11680.t1, Populus_rotundifolia__Porot14186.t1	Populus_simonii__Posim08361.t1, Populus_simonii__Posim11154.t1	Populus_szechuanica__Posze10494.t1, Populus_szechuanica__Posze13143.t1	Populus_tremula__Potra2n2c6156.1	Populus_trichocarpa__Potri.002G031900.1.v4.1, Populus_trichocarpa__Potri.005G231300.1.v4.1	Populus_wuana__Powua07518.t1, Populus_wuana__Powua12410.t1	Populus_yunnanensis__Poyun12489.t1, Populus_yunnanensis__Poyun13101.t1
OG0000014	Populus_adenopoda__Poade09000.t1, Populus_adenopoda__Poade32076.t1	Populus_alba__KAL3581054.1, Populus_alba__KAL3597745.1	Populus_alba_var__pyramidalis__Poalv20188.t1, Populus_alba_var__pyramidalis__Poalv28518.t1	Populus_davidiana__Podav14514.t2, Populus_davidiana__Podav38153.t1	Populus_deltoide__Podel.04G207200.1.v2.1, Populus_deltoide__Podel.09G170300.1.v2.1	Populus_euphratica__Poeup20401.t1, Populus_euphratica__Poeup22971.t1	Populus_ilicifolia__evm.model.scaffold315_cov110.36, Populus_ilicifolia__evm.model.scaffold360_cov106.303	Populus_koreana__Pokor14205.t1	Populus_lasiocarpa__Polas14914.t1, Populus_lasiocarpa__Polas37373.t1	Populus_pruinosa__PprTF04G1606.1, Populus_pruinosa__PprTF09G1503.1	Populus_pseudoglauca__Popse07823.t1, Populus_pseudoglauca__Popse39227.t1	Populus_qiongdaoensis__Poqio10915.t1, Populus_qiongdaoensis__Poqio24543.t1	Populus_rotundifolia__Porot16550.t2, Populus_rotundifolia__Porot37520.t1	Populus_simonii__Posim13620.t1, Populus_simonii__Posim38083.t1	Populus_szechuanica__Posze09786.t1, Populus_szechuanica__Posze40505.t1	Populus_tremula__Potra2n4c10196.2, Populus_tremula__Potra2n9c18685.1	Populus_trichocarpa__Potri.004G203400.7.v4.1, Populus_trichocarpa__Potri.009G164300.4.v4.1	Populus_wuana__Powua10146.t1, Populus_wuana__Powua37459.t1	Populus_yunnanensis__Poyun07906.t1, Populus_yunnanensis__Poyun39401.t1
OG0000015	Populus_adenopoda__Poade12228.t6, Populus_adenopoda__Poade27519.t1	Populus_alba__KAL3584085.1, Populus_alba__KAL3591632.1	Populus_alba_var__pyramidalis__Poalv13268.t1, Populus_alba_var__pyramidalis__Poalv30456.t1	Populus_davidiana__Podav18103.t2, Populus_davidiana__Podav30657.t1	Populus_deltoide__Podel.05G089800.1.v2.1, Populus_deltoide__Podel.07G094400.1.v2.1	Populus_euphratica__GWHAAYU00000007_exon6_exon7_exon5_exon4_exon1_exon2_exon3.final, Populus_euphratica__Poeup28359.t1	Populus_ilicifolia__evm.model.scaffold37_cov106.72	Populus_koreana__Pokor08884.t4, Populus_koreana__Pokor33213.t2	Populus_lasiocarpa__Polas09491.t1, Populus_lasiocarpa__Polas28078.t1	Populus_pruinosa__Chr7_exon13_exon12_exon25_exon1_exon7_exon11.final, Populus_pruinosa__PprTF05G0599.1	Populus_pseudoglauca__Popse14446.t3, Populus_pseudoglauca__Popse30879.t2	Populus_qiongdaoensis__Poqio14830.t1, Populus_qiongdaoensis__Poqio19552.t1	Populus_rotundifolia__Porot10289.t5, Populus_rotundifolia__Porot31393.t1	Populus_simonii__Posim12607.t1, Populus_simonii__Posim32980.t2	Populus_szechuanica__Posze12036.t1, Populus_szechuanica__Posze33328.t2	Populus_tremula__Potra2n5c12122.1, Populus_tremula__Potra2n673s36378.3	Populus_trichocarpa__Potri.005G082000.10.v4.1, Populus_trichocarpa__Potri.007G085700.2.v4.1	Populus_wuana__Powua13859.t1, Populus_wuana__Powua29524.t1	Populus_yunnanensis__Poyun14544.t1, Populus_yunnanensis__Poyun29452.t1
OG0000016	Populus_adenopoda__Poade21926.t1, Populus_adenopoda__Poade28226.t1	Populus_alba__KAL3571432.1, Populus_alba__KAL3583397.1	Populus_alba_var__pyramidalis__Poalv07533.t1, Populus_alba_var__pyramidalis__Poalv12445.t1	Populus_davidiana__Podav22299.t1, Populus_davidiana__Podav29880.t1	Populus_deltoide__Podel.07G008900.1.v2.1, Populus_deltoide__Podel.14G003900.1.v2.1	Populus_euphratica__Poeup07252.t1	Populus_ilicifolia__evm.model.scaffold356_cov103.163, Populus_ilicifolia__evm.model.scaffold405_cov103.242	Populus_koreana__Pokor20825.t1, Populus_koreana__Pokor34003.t1	Populus_lasiocarpa__Polas25670.t1, Populus_lasiocarpa__Polas27272.t1	Populus_pruinosa__PprTF07G0062.1, Populus_pruinosa__PprTF14G1544.1	Populus_pseudoglauca__Popse24837.t1, Populus_pseudoglauca__Popse31692.t1	Populus_qiongdaoensis__Poqio18615.t1, Populus_qiongdaoensis__Poqio32198.t1	Populus_rotundifolia__Porot23987.t1, Populus_rotundifolia__Porot30591.t1	Populus_simonii__Posim26387.t1, Populus_simonii__Posim33766.t1	Populus_szechuanica__Posze26031.t1, Populus_szechuanica__Posze34220.t1	Populus_tremula__Potra2n14c26371.1, Populus_tremula__Potra2n7c16587.1	Populus_trichocarpa__Potri.007G006900.2.v4.1, Populus_trichocarpa__Potri.014G007100.2.v4.1	Populus_wuana__Powua24601.t1, Populus_wuana__Powua30352.t1	Populus_yunnanensis__Poyun27436.t1, Populus_yunnanensis__Poyun30358.t1
OG0000017	Populus_adenopoda__Poade23073.t1, Populus_adenopoda__Poade28342.t1	Populus_alba__KAL3565883.1, Populus_alba__KAL3574582.1	Populus_alba_var__pyramidalis__Poalv13978.t1, Populus_alba_var__pyramidalis__Poalv33591.t1	Populus_davidiana__Podav23845.t1, Populus_davidiana__Podav34041.t3	Populus_deltoide__Podel.13G197400.1.v2.1, Populus_deltoide__Podel.19G130700.1.v2.1, Populus_deltoide__Podel.T202900.1.v2.1	Populus_euphratica__Poeup31540.t1	Populus_ilicifolia__evm.model.scaffold38_cov107.34, Populus_ilicifolia__evm.model.scaffold717_cov110.46	Populus_koreana__Pokor25714.t1, Populus_koreana__Pokor28561.t3	Populus_lasiocarpa__Polas29929.t1, Populus_lasiocarpa__Polas32970.t3	Populus_pruinosa__PprTF13G1197.1, Populus_pruinosa__PprTF19G0754.1	Populus_pseudoglauca__Popse20060.t1, Populus_pseudoglauca__Popse27260.t3	Populus_qiongdaoensis__Poqio32104.t1	Populus_rotundifolia__Porot18441.t1, Populus_rotundifolia__Porot31978.t3	Populus_simonii__Posim27819.t1, Populus_simonii__Posim30807.t2	Populus_szechuanica__Posze21891.t2, Populus_szechuanica__Posze31117.t1	Populus_tremula__Potra2n13c24971.1, Populus_tremula__Potra2n19c33290.1	Populus_trichocarpa__Potri.013G156900.1.v4.1, Populus_trichocarpa__Potri.019G130000.1.v4.1	Populus_wuana__Powua25225.t1, Populus_wuana__Powua26029.t3	Populus_yunnanensis__Poyun25523.t3, Populus_yunnanensis__Poyun28840.t2
OG0000018	Populus_adenopoda__Poade07560.t3, Populus_adenopoda__Poade21792.t1	Populus_alba__KAL3571576.1, Populus_alba__KAL3603824.1	Populus_alba_var__pyramidalis__Poalv07705.t1, Populus_alba_var__pyramidalis__Poalv25164.t1	Populus_davidiana__Podav12824.t2, Populus_davidiana__Podav22160.t3	Populus_deltoide__Podel.02G138200.1.v2.1, Populus_deltoide__Podel.14G027800.1.v2.1	Populus_euphratica__Poeup15484.t1	Populus_ilicifolia__evm.model.scaffold164_cov102.297, Populus_ilicifolia__evm.model.scaffold356_cov103.3	Populus_koreana__Pokor11013.t1, Populus_koreana__Pokor20676.t1	Populus_lasiocarpa__Polas11639.t5, Populus_lasiocarpa__Polas25508.t2	Populus_pruinosa__PprTF02G1156.1, Populus_pruinosa__PprTF14G1397.1	Populus_pseudoglauca__Popse11232.t3, Populus_pseudoglauca__Popse24692.t2	Populus_qiongdaoensis__Poqio06806.t1	Populus_rotundifolia__Porot13247.t4, Populus_rotundifolia__Porot23835.t1	Populus_simonii__Posim09290.t5, Populus_simonii__Posim26241.t1	Populus_szechuanica__Posze14134.t2, Populus_szechuanica__Posze26182.t1	Populus_tremula__Potra2n14c26536.2, Populus_tremula__Potra2n2c5269.1	Populus_trichocarpa__Potri.002G125400.1.v4.1, Populus_trichocarpa__Potri.014G028200.2.v4.1	Populus_wuana__Powua08441.t3, Populus_wuana__Powua24444.t1	Populus_yunnanensis__Poyun11514.t2, Populus_yunnanensis__Poyun27271.t1
OG0000019	Populus_adenopoda__Poade08078.t1, Populus_adenopoda__Poade11339.t1	Populus_alba__KAL3572716.1, Populus_alba__KAL3592544.1	Populus_alba_var__pyramidalis__Poalv25697.t1	Populus_davidiana__Podav12278.t1, Populus_davidiana__Podav17111.t1	Populus_deltoide__Podel.02G075200.1.v2.1, Populus_deltoide__Podel.05G202400.1.v2.1	Populus_euphratica__Poeup16041.t1	Populus_ilicifolia__evm.model.scaffold48_cov100.38, Populus_ilicifolia__evm.model.scaffold5_cov102.260	Populus_koreana__Pokor07846.t1, Populus_koreana__Pokor11579.t1	Populus_lasiocarpa__Polas08322.t1, Populus_lasiocarpa__Polas12218.t1	Populus_pruinosa__PprTF02G0637.1, Populus_pruinosa__PprTF05G1494.1	Populus_pseudoglauca__Popse10662.t1, Populus_pseudoglauca__Popse13385.t1	Populus_qiongdaoensis__Poqio07324.t1, Populus_qiongdaoensis__Poqio13823.t1	Populus_rotundifolia__Porot11305.t1, Populus_rotundifolia__Porot13810.t1	Populus_simonii__Posim08738.t1, Populus_simonii__Posim11539.t1	Populus_szechuanica__Posze10913.t1, Populus_szechuanica__Posze13539.t1	Populus_tremula__Potra2n2c5788.2, Populus_tremula__Potra2n5c11148.1	Populus_trichocarpa__Potri.002G069500.1.v4.1, Populus_trichocarpa__Potri.005G190700.1.v4.1	Populus_wuana__Powua07885.t1, Populus_wuana__Powua12788.t1	Populus_yunnanensis__Poyun12099.t1, Populus_yunnanensis__Poyun13489.t1
OG0000020	Populus_adenopoda__Poade16685.t1, Populus_adenopoda__Poade16832.t1	Populus_alba__KAL3579546.1, Populus_alba__KAL3581175.1	Populus_alba_var__pyramidalis__Poalv31233.t1, Populus_alba_var__pyramidalis__Poalv38588.t1	Populus_davidiana__Podav26188.t1, Populus_davidiana__Podav28255.t1	Populus_deltoide__Podel.08G016000.1.v2.1, Populus_deltoide__Podel.10G255600.1.v2.1	Populus_euphratica__Poeup34395.t1	Populus_ilicifolia__evm.model.scaffold1832_cov110.20	Populus_koreana__Pokor16848.t1, Populus_koreana__Pokor22374.t1	Populus_lasiocarpa__Polas15326.t1, Populus_lasiocarpa__Polas22349.t1	Populus_pruinosa__PprTF08G0080.1, Populus_pruinosa__PprTF10G0077.1	Populus_pseudoglauca__Popse19905.t1, Populus_pseudoglauca__Popse24956.t1	Populus_qiongdaoensis__Poqio20369.t1, Populus_qiongdaoensis__Poqio27318.t1	Populus_rotundifolia__Porot19956.t1, Populus_rotundifolia__Porot27620.t1	Populus_simonii__Posim18360.t1, Populus_simonii__Posim23017.t1	Populus_szechuanica__Posze20344.t1, Populus_szechuanica__Posze22050.t1	Populus_tremula__Potra2n10c20174.1, Populus_tremula__Potra2n8c16719.1	Populus_trichocarpa__Potri.008G010800.1.v4.1, Populus_trichocarpa__Potri.010G248100.1.v4.1	Populus_wuana__Powua16832.t1, Populus_wuana__Powua19298.t1	Populus_yunnanensis__Poyun17726.t1, Populus_yunnanensis__Poyun21647.t1
OG0000021	Populus_adenopoda__Poade09399.t1, Populus_adenopoda__Poade32472.t1	Populus_alba__KAL3580672.1, Populus_alba__KAL3597373.1	Populus_alba_var__pyramidalis__Poalv19699.t1, Populus_alba_var__pyramidalis__Poalv27952.t1	Populus_davidiana__Podav14892.t1, Populus_davidiana__Podav37750.t1	Populus_deltoide__Podel.04G162300.1.v2.1, Populus_deltoide__Podel.09G125000.1.v2.1		Populus_ilicifolia__evm.model.scaffold117_cov106.117, Populus_ilicifolia__evm.model.scaffold428_cov103.57	Populus_koreana__Pokor13775.t1, Populus_koreana__Pokor35912.t1	Populus_lasiocarpa__Polas14449.t1, Populus_lasiocarpa__Polas37794.t1	Populus_pruinosa__PprTF04G1247.1, Populus_pruinosa__PprTF09G1109.1	Populus_pseudoglauca__Popse08286.t1, Populus_pseudoglauca__Popse38800.t1	Populus_qiongdaoensis__Poqio11392.t1, Populus_qiongdaoensis__Poqio24064.t1	Populus_rotundifolia__Porot16960.t1, Populus_rotundifolia__Porot37110.t1	Populus_simonii__Posim14051.t1, Populus_simonii__Posim38499.t1	Populus_szechuanica__Posze09341.t1, Populus_szechuanica__Posze40062.t1	Populus_tremula__Potra2n4c9844.1	Populus_trichocarpa__Potri.004G158200.1.v4.1, Populus_trichocarpa__Potri.009G119700.1.v4.1	Populus_wuana__Powua10572.t1, Populus_wuana__Powua37036.t1	Populus_yunnanensis__Poyun08374.t1, Populus_yunnanensis__Poyun38985.t1
OG0000022	Populus_adenopoda__Poade16631.t1, Populus_adenopoda__Poade16887.t2	Populus_alba__KAL3579501.1, Populus_alba__KAL3581240.1	Populus_alba_var__pyramidalis__Poalv31286.t1, Populus_alba_var__pyramidalis__Poalv38520.t1	Populus_davidiana__Podav26132.t1, Populus_davidiana__Podav28189.t1	Populus_deltoide__Podel.08G024100.1.v2.1, Populus_deltoide__Podel.10G249700.1.v2.1	Populus_euphratica__Poeup20601.t1, Populus_euphratica__Poeup34446.t1	Populus_ilicifolia__evm.model.scaffold730_cov109.10	Populus_koreana__Pokor16792.t1, Populus_koreana__Pokor22447.t1	Populus_lasiocarpa__Polas22270.t1	Populus_pruinosa__PprTF08G0148.1, Populus_pruinosa__PprTF10G0131.1	Populus_pseudoglauca__Popse19847.t1, Populus_pseudoglauca__Popse25052.t3	Populus_qiongdaoensis__Poqio20464.t1, Populus_qiongdaoensis__Poqio27244.t1	Populus_rotundifolia__Porot20018.t1, Populus_rotundifolia__Porot27540.t2	Populus_simonii__Posim18414.t1	Populus_szechuanica__Posze20284.t1, Populus_szechuanica__Posze22131.t1	Populus_tremula__Potra2n8c16778.1	Populus_trichocarpa__Potri.008G018400.2.v4.1, Populus_trichocarpa__Potri.010G242800.3.v4.1	Populus_wuana__Powua16886.t1, Populus_wuana__Powua19372.t1	Populus_yunnanensis__Poyun17659.t3, Populus_yunnanensis__Poyun21720.t1
OG0000023	Populus_adenopoda__Poade09548.t1	Populus_alba__KAL3597232.1, Populus_alba__KAL3597302.1	Populus_alba_var__pyramidalis__Poalv27752.t1, Populus_alba_var__pyramidalis__Poalv27762.t1	Populus_davidiana__Podav15053.t1	Populus_deltoide__Podel.04G145800.1.v2.1	Populus_euphratica__Poeup23537.t1	Populus_ilicifolia__evm.model.scaffold401_cov111.66	Populus_koreana__Pokor13622.t1	Populus_lasiocarpa__Polas14286.t1	Populus_pruinosa__PprTF04G1093.1	Populus_pseudoglauca__Popse08451.t1	Populus_qiongdaoensis__Poqio11583.t1	Populus_rotundifolia__Porot17120.t1	Populus_simonii__Posim14213.t1	Populus_szechuanica__Posze09165.t1	Populus_tremula__Potra2n4c9694.1	Populus_trichocarpa__Potri.004G140600.12.v4.1	Populus_wuana__Powua10727.t1	Populus_yunnanensis__Poyun08543.t1
OG0000024	Populus_adenopoda__Poade14010.t1	Populus_alba__KAL3598797.1	Populus_alba_var__pyramidalis__Poalv22959.t1	Populus_davidiana__Podav06126.t1	Populus_deltoide__Podel.01G146300.1.v2.1, Populus_deltoide__Podel.03G103300.1.v2.1	Populus_euphratica__Poeup17587.t1	Populus_ilicifolia__evm.model.scaffold1515_cov109.21, Populus_ilicifolia__evm.model.scaffold1665_cov104.5	Populus_koreana__Pokor17831.t1	Populus_lasiocarpa__Polas18714.t1	Populus_pruinosa__PprTF03G0748.1	Populus_pseudoglauca__Popse16203.t1	Populus_qiongdaoensis__Poqio09499.t1	Populus_rotundifolia__Porot05623.t1	Populus_simonii__Posim16949.t1	Populus_szechuanica__Posze16640.t1	Populus_tremula__Potra2n3c7639.1	Populus_trichocarpa__Potri.003G097600.1.v4.1	Populus_wuana__Powua15544.t1	Populus_yunnanensis__Poyun18737.t1
OG0000025	Populus_adenopoda__Poade14703.t1	Populus_alba__KAL3598114.1	Populus_alba_var__pyramidalis__Poalv23629.t1	Populus_davidiana__Podav07035.t1	Populus_deltoide__Podel.03G013600.1.v2.1, Populus_deltoide__Podel.12G065200.1.v2.1	Populus_euphratica__Poeup16832.t1, Populus_euphratica__Poeup16840.t1	Populus_ilicifolia__evm.model.scaffold2195_cov107.5	Populus_koreana__Pokor17035.t1	Populus_lasiocarpa__Polas17904.t1	Populus_pruinosa__PprTF03G0087.1	Populus_pseudoglauca__Popse15326.t1, Populus_pseudoglauca__Popse15351.t1		Populus_rotundifolia__Porot04803.t1	Populus_simonii__Posim15800.t1	Populus_szechuanica__Posze15760.t1, Populus_szechuanica__Posze15765.t1		Populus_trichocarpa__Potri.003G014800.3.v4.1		Populus_yunnanensis__Poyun17940.t1
OG0000026	Populus_adenopoda__Poade21262.t5	Populus_alba__KAL3572086.1	Populus_alba_var_pyramidalis__GWHACDA00000010_exon10_exon6_exon11_exon4_exon5_exon1_exon2_exon7.final	Populus_davidiana__Podav21593.t1	Populus_deltoide__Podel.14G095600.1.v2.1	Populus_euphratica__Poeup11104.t1	Populus_ilicifolia__evm.model.scaffold352_cov102.211	Populus_koreana__Pokor20126.t1	Populus_lasiocarpa__Polas24928.t5	Populus_pruinosa__PprTF14G0885.1	Populus_pseudoglauca__Popse24122.t6	Populus_qiongdaoensis__Poqio33030.t1, Populus_qiongdaoensis__Poqio33031.t1	Populus_rotundifolia__Porot23290.t1	Populus_simonii__Posim25685.t1	Populus_szechuanica__Posze26782.t1	Populus_tremula__Potra2n14c27082.1	Populus_trichocarpa__Potri.014G094200.7.v4.1	Populus_wuana__Powua23901.t7	Populus_yunnanensis__Poyun26694.t1
OG0000027	Populus_adenopoda__Poade28580.t1	Populus_alba__CM100082.1_exon1_exon4_exon6.final, Populus_alba__KAL3574345.1	Populus_alba_var__pyramidalis__Poalv14254.t1	Populus_davidiana__Podav33798.t1	Populus_deltoide__Podel.13G134200.1.v2.1	Populus_euphratica__Poeup31292.t1	Populus_ilicifolia__evm.model.scaffold46_cov108.18	Populus_koreana__Pokor28292.t1	Populus_lasiocarpa__LG15_exon3_exon2_exon1_exon5.final	Populus_pruinosa__PprTF13G0979.1	Populus_pseudoglauca__LG12_exon3_exon2_exon1_exon5.final	Populus_qiongdaoensis__Poqio31811.t1	Populus_rotundifolia__Porot32217.t1	Populus_simonii__Posim30558.t1	Populus_szechuanica__Posze30831.t1	Populus_tremula__Potra2n13c25219.1	Populus_trichocarpa__Potri.013G124400.1.v4.1	Populus_wuana__Powua26268.t1	Populus_yunnanensis__Poyun25249.t1
OG0000028	Populus_adenopoda__Poade30339.t1	Populus_alba__KAL3568951.1	Populus_alba_var__pyramidalis__Poalv16639.t1, Populus_alba_var__pyramidalis__Poalv16651.t1	Populus_davidiana__Podav34703.t1	Populus_deltoide__Podel.16G035200.1.v2.1	Populus_euphratica__Poeup09810.t1	Populus_ilicifolia__evm.model.scaffold298_cov112.12	Populus_koreana__Pokor30244.t1	Populus_lasiocarpa__Polas34753.t1	Populus_pruinosa__PprTF16G0239.1	Populus_pseudoglauca__Popse35928.t1	Populus_qiongdaoensis__Poqio36060.t1	Populus_rotundifolia__Porot27949.t1	Populus_simonii__Posim36388.t1	Populus_szechuanica__Posze32413.t1	Populus_tremula__Potra2n16c29497.1	Populus_trichocarpa__Potri.016G032400.1.v4.1	Populus_wuana__Powua33493.t1	Populus_yunnanensis__Poyun36071.t1
OG0000029	Populus_adenopoda__Poade00686.t1	Populus_alba__KAL3612257.1	Populus_alba_var__pyramidalis__Poalv00902.t1	Populus_davidiana__Podav03898.t2	Populus_deltoide__Podel.01G399500.1.v2.1	Populus_euphratica__Poeup00835.t1	Populus_ilicifolia__evm.model.scaffold1242_cov106.13	Populus_koreana__Pokor00802.t1	Populus_lasiocarpa__Polas03877.t1	Populus_pruinosa__PprTF01G3154.1	Populus_pseudoglauca__Popse00863.t1	Populus_qiongdaoensis__Poqio00925.t1	Populus_rotundifolia__Porot03725.t4	Populus_simonii__Posim01132.t1	Populus_szechuanica__Posze03924.t1	Populus_tremula__Potra2n1c3284.1	Populus_trichocarpa__Potri.001G374200.2.v4.1	Populus_wuana__Powua03736.t1	Populus_yunnanensis__Poyun03859.t1
OG0000030	Populus_adenopoda__Poade00715.t1	Populus_alba__KAL3612229.1	Populus_alba_var__pyramidalis__Poalv00947.t1	Populus_davidiana__Podav03852.t1	Populus_deltoide__Podel.T050600.1.v2.1	Populus_euphratica__Poeup00866.t1	Populus_ilicifolia__evm.model.scaffold1048_cov104.4	Populus_koreana__Pokor00834.t1	Populus_lasiocarpa__Polas03841.t1	Populus_pruinosa__PprTF01G3123.1	Populus_pseudoglauca__Popse00894.t1	Populus_qiongdaoensis__Poqio00963.t1	Populus_rotundifolia__Porot03692.t1	Populus_simonii__Posim01166.t1	Populus_szechuanica__Posze03889.t1	Populus_tremula__Potra2n1c3253.1	Populus_trichocarpa__Potri.001G371300.1.v4.1	Populus_wuana__Powua03704.t1	Populus_yunnanensis__Poyun03826.t1
